EVENT,BOUT,METHOD,ROUND,TIME,FIGHTER_1,FIGHTER_2,Total_Rounds_Format,Main_round_time_Format,Num_overtime_rounds_Format,Overtime_round_time_Format,gender,is_title_bout,weight_class,fighter_1_result,fighter_2_result
ufc fight night: yan vs. figueiredo,shi ming  vs. feng xiaocan,ko/tko,3,46,shi ming,feng xiaocan,3.0,5.0,,5.0,1,0,strawweight,W,L
ufc fight night: yan vs. figueiredo,nyamjargal tumendemberel  vs. carlos hernandez,decision - split,3,300,nyamjargal tumendemberel,carlos hernandez,3.0,5.0,0.0,0.0,0,0,flyweight,L,W
ufc fight night: yan vs. figueiredo,lone'er kavanagh  vs. jose ochoa,decision - unanimous,3,300,lone'er kavanagh,jose ochoa,3.0,5.0,0.0,0.0,0,0,flyweight,W,L
ufc fight night: yan vs. figueiredo,xiao long  vs. quang le,ko/tko,3,88,xiao long,quang le,3.0,5.0,0.0,0.0,0,0,bantamweight,W,L
ufc fight night: yan vs. figueiredo,maheshate  vs. nikolas motta,decision - unanimous,3,300,maheshate,nikolas motta,3.0,5.0,0.0,0.0,0,0,lightweight,L,W
ufc 309: jones vs. miocic,jon jones  vs. stipe miocic,ko/tko,3,269,jon jones,stipe miocic,5.0,5.0,0.0,0.0,0,1,heavyweight,W,L
ufc 309: jones vs. miocic,charles oliveira  vs. michael chandler,decision - unanimous,5,300,charles oliveira,michael chandler,5.0,5.0,0.0,0.0,0,0,lightweight,W,L
ufc 309: jones vs. miocic,bo nickal  vs. paul craig,decision - unanimous,3,300,bo nickal,paul craig,3.0,5.0,0.0,0.0,0,0,middleweight,W,L
ufc 309: jones vs. miocic,viviane araujo  vs. karine silva,decision - unanimous,3,300,viviane araujo,karine silva,3.0,5.0,0.0,0.0,1,0,flyweight,W,L
ufc 309: jones vs. miocic,mauricio ruffy  vs. james llontop,decision - unanimous,3,300,mauricio ruffy,james llontop,3.0,5.0,0.0,0.0,0,0,catch weight,W,L
ufc 309: jones vs. miocic,jonathan martinez  vs. marcus mcghee,decision - unanimous,3,300,jonathan martinez,marcus mcghee,3.0,5.0,0.0,0.0,0,0,bantamweight,L,W
ufc 309: jones vs. miocic,jim miller  vs. damon jackson,submission,1,164,jim miller,damon jackson,3.0,5.0,0.0,0.0,0,0,lightweight,W,L
ufc 309: jones vs. miocic,david onama  vs. roberto romero,decision - unanimous,3,300,david onama,roberto romero,3.0,5.0,0.0,0.0,0,0,lightweight,W,L
ufc 309: jones vs. miocic,marcin tybura  vs. jhonata diniz,tko - doctor's stoppage,2,300,marcin tybura,jhonata diniz,3.0,5.0,0.0,0.0,0,0,heavyweight,W,L
ufc 309: jones vs. miocic,mickey gall  vs. ramiz brahimaj,ko/tko,1,175,mickey gall,ramiz brahimaj,3.0,5.0,0.0,0.0,0,0,welterweight,L,W
ufc 309: jones vs. miocic,bassil hafez  vs. oban elliott,ko/tko,3,40,bassil hafez,oban elliott,3.0,5.0,0.0,0.0,0,0,welterweight,L,W
ufc 309: jones vs. miocic,veronica hardy  vs. eduarda moura,decision - unanimous,3,300,veronica hardy,eduarda moura,3.0,5.0,0.0,0.0,1,0,flyweight,L,W
ufc fight night: magny vs. prates,neil magny  vs. carlos prates,ko/tko,1,290,neil magny,carlos prates,5.0,5.0,0.0,0.0,0,0,welterweight,L,W
ufc fight night: magny vs. prates,gerald meerschaert  vs. reinier de ridder,submission,3,104,gerald meerschaert,reinier de ridder,3.0,5.0,0.0,0.0,0,0,middleweight,L,W
ufc fight night: magny vs. prates,gaston bolanos  vs. cortavious romious,decision - unanimous,3,300,gaston bolanos,cortavious romious,3.0,5.0,0.0,0.0,0,0,bantamweight,W,L
ufc fight night: magny vs. prates,luana pinheiro  vs. gillian robertson,decision - unanimous,3,300,luana pinheiro,gillian robertson,3.0,5.0,0.0,0.0,1,0,strawweight,L,W
ufc fight night: magny vs. prates,mansur abdul-malik  vs. dusko todorovic,ko/tko,1,164,mansur abdul-malik,dusko todorovic,3.0,5.0,0.0,0.0,0,0,middleweight,W,L
ufc fight night: magny vs. prates,karolina kowalkiewicz  vs. denise gomes,decision - unanimous,3,300,karolina kowalkiewicz,denise gomes,3.0,5.0,0.0,0.0,1,0,strawweight,L,W
ufc fight night: magny vs. prates,elizeu zaleski dos santos  vs. zachary scroggin,ko/tko,1,75,elizeu zaleski dos santos,zachary scroggin,3.0,5.0,0.0,0.0,0,0,welterweight,W,L
ufc fight night: magny vs. prates,matthew semelsberger  vs. charles radtke,ko/tko,1,51,matthew semelsberger,charles radtke,3.0,5.0,0.0,0.0,0,0,welterweight,L,W
ufc fight night: magny vs. prates,cody stamann  vs. da'mon blackshear,submission,1,259,cody stamann,da'mon blackshear,3.0,5.0,0.0,0.0,0,0,bantamweight,L,W
ufc fight night: magny vs. prates,tresean gore  vs. antonio trocoli,submission,1,83,tresean gore,antonio trocoli,3.0,5.0,0.0,0.0,0,0,middleweight,W,L
ufc fight night: magny vs. prates,melissa mullins  vs. klaudia sygula,ko/tko,2,80,melissa mullins,klaudia sygula,3.0,5.0,0.0,0.0,1,0,bantamweight,W,L
ufc fight night: moreno vs. albazi,brandon moreno  vs. amir albazi,decision - unanimous,5,300,brandon moreno,amir albazi,5.0,5.0,0.0,0.0,0,0,flyweight,W,L
ufc fight night: moreno vs. albazi,erin blanchfield  vs. rose namajunas,decision - unanimous,5,300,erin blanchfield,rose namajunas,5.0,5.0,0.0,0.0,1,0,flyweight,W,L
ufc fight night: moreno vs. albazi,caio machado  vs. brendson ribeiro,decision - split,3,300,caio machado,brendson ribeiro,3.0,5.0,0.0,0.0,0,0,light heavyweight,L,W
ufc fight night: moreno vs. albazi,ariane da silva  vs. jasmine jasudavicius,submission,3,148,ariane da silva,jasmine jasudavicius,3.0,5.0,0.0,0.0,1,0,flyweight,L,W
ufc fight night: moreno vs. albazi,marc-andre barriault  vs. dustin stoltzfus,ko/tko,1,268,marc-andre barriault,dustin stoltzfus,3.0,5.0,0.0,0.0,0,0,middleweight,L,W
ufc fight night: moreno vs. albazi,mike malott  vs. trevin giles,decision - unanimous,3,300,mike malott,trevin giles,3.0,5.0,0.0,0.0,0,0,welterweight,W,L
ufc fight night: moreno vs. albazi,aiemann zahabi  vs. pedro munhoz,decision - unanimous,3,300,aiemann zahabi,pedro munhoz,3.0,5.0,0.0,0.0,0,0,bantamweight,W,L
ufc fight night: moreno vs. albazi,charles jourdain  vs. victor henry,submission,2,223,charles jourdain,victor henry,3.0,5.0,0.0,0.0,0,0,bantamweight,W,L
ufc fight night: moreno vs. albazi,jack shore  vs. youssef zalal,submission,2,59,jack shore,youssef zalal,3.0,5.0,0.0,0.0,0,0,featherweight,L,W
ufc fight night: moreno vs. albazi,alexandr romanov  vs. rodrigo nascimento,decision - unanimous,3,300,alexandr romanov,rodrigo nascimento,3.0,5.0,0.0,0.0,0,0,heavyweight,W,L
ufc fight night: moreno vs. albazi,serhiy sidey  vs. garrett armfield,decision - split,3,300,serhiy sidey,garrett armfield,3.0,5.0,0.0,0.0,0,0,bantamweight,W,L
ufc fight night: moreno vs. albazi,chad anheliger  vs. cody gibson,decision - unanimous,3,300,chad anheliger,cody gibson,3.0,5.0,0.0,0.0,0,0,bantamweight,L,W
ufc fight night: moreno vs. albazi,jamey-lyn horth  vs. ivana petrovic,decision - split,3,300,jamey-lyn horth,ivana petrovic,3.0,5.0,0.0,0.0,1,0,flyweight,W,L
ufc fight night: hernandez vs. pereira,anthony hernandez  vs. michel pereira,ko/tko,5,142,anthony hernandez,michel pereira,5.0,5.0,0.0,0.0,0,0,middleweight,W,L
ufc fight night: hernandez vs. pereira,rob font  vs. kyler phillips,decision - unanimous,3,300,rob font,kyler phillips,3.0,5.0,0.0,0.0,0,0,bantamweight,W,L
