,Fighter,Win,Loss,Draw,No Contest,Total Matches
369,bassil hafez ,0,1,0,0,1
370,batgerel danaa,0,3,0,0,3
371,bea malecki,1,0,0,0,1
372,bea malecki ,1,1,0,0,2
373,bec rawlings,0,2,0,0,2
374,bec rawlings ,2,3,0,0,5
375,bekzat almakhan,0,1,0,0,1
376,belal muhammad,9,2,0,1,12
377,belal muhammad ,6,1,0,0,7
378,ben alloway,0,1,0,0,1
379,ben alloway ,1,1,0,0,2
380,ben askren,1,2,0,0,3
381,ben earwood ,1,0,0,0,1
382,ben nguyen,2,3,0,0,5
383,ben nguyen ,2,0,0,0,2
384,ben rothwell,4,4,0,0,8
385,ben rothwell ,5,4,0,0,9
386,ben saunders,4,6,0,0,10
387,ben saunders ,5,4,0,0,9
388,ben sosoli,0,0,0,1,1
389,ben sosoli ,0,1,0,0,1
390,ben wall,0,1,0,0,1
391,ben wall ,0,1,0,0,1
392,benardo sopaj,0,1,0,0,1
393,beneil dariush,8,3,0,0,11
394,beneil dariush ,8,3,1,0,12
395,benito lopez,1,1,0,0,2
396,benito lopez ,1,1,0,0,2
397,benji radach,0,1,0,0,1
398,benji radach ,1,0,0,1,2
399,benoit saint denis,3,3,0,0,6
400,benoit saint denis ,2,0,0,0,2
401,benson henderson,4,1,0,0,5
402,benson henderson ,7,2,0,0,9
403,bentley syler ,0,1,0,0,1
404,bernardo magalhaes,0,2,0,0,2
405,besam yousef,0,2,0,0,2
406,bethe correia,4,3,0,0,7
407,bethe correia ,1,3,1,0,5
408,bevon lewis,0,2,0,0,2
409,bevon lewis ,1,1,0,0,2
410,bharat kandare,0,1,0,0,1
411,bibulatov magomed,1,1,0,0,2
412,bibulatov magomed ,0,1,0,0,1
413,bill algeo,2,4,0,0,6
414,bill algeo ,3,1,0,0,4
415,bill mahood,0,1,0,0,1
416,billy miles,0,1,0,0,1
417,billy quarantillo,1,4,0,0,5
418,billy quarantillo ,5,1,0,0,6
419,billy ray goff ,0,1,0,0,1
420,bj penn,1,7,0,0,8
421,bj penn ,11,6,2,0,19
422,blagoy ivanov,1,4,0,0,5
423,blagoy ivanov ,2,1,0,0,3
424,blake bilder,1,2,0,0,3
425,blood diamond,0,2,0,0,2
426,blood diamond ,0,1,0,0,1
427,bo nickal ,4,0,0,0,4
428,bob cook ,1,0,0,0,1
429,bob gilstrap,0,1,0,0,1
430,bobby green,8,5,1,0,14
431,bobby green ,5,5,0,1,11
432,bobby hoffman,0,2,0,0,2
433,bobby hoffman ,0,0,0,1,1
434,bobby moffett,0,2,0,1,3
435,bobby nash,0,2,0,0,2
436,bobby nash ,0,1,0,0,1
437,bobby southworth,0,1,0,0,1
438,bobby voelker,0,3,0,0,3
439,bobby voelker ,0,1,0,0,1
440,bogdan guskov,2,1,0,0,3
441,bojan mihajlovic,0,1,0,0,1
442,bojan mihajlovic ,0,2,0,0,2
443,bojan velickovic,2,2,1,0,5
444,bojan velickovic ,0,1,0,0,1
445,bolaji oki ,1,1,0,0,2
446,boston salmon,0,1,0,0,1
447,boston salmon ,0,1,0,0,1
448,brad blackburn,0,2,0,0,2
449,brad blackburn ,3,0,0,0,3
450,brad gumm,0,1,0,0,1
451,brad gumm ,0,0,1,0,1
452,brad imes,0,3,0,0,3
453,brad katona,1,0,0,0,1
454,brad katona ,3,4,0,0,7
455,brad kohler,0,1,0,0,1
456,brad kohler ,1,0,0,0,1
457,brad morris,0,2,0,0,2
458,brad pickett,1,1,0,0,2
459,brad pickett ,4,8,0,0,12
460,brad riddell,1,0,0,0,1
461,brad riddell ,3,3,0,0,6
462,brad scott,1,1,0,0,2
463,brad scott ,2,4,0,0,6
464,brad tavares,8,1,0,0,9
465,brad tavares ,7,9,0,0,16
466,brady hiestand,0,1,0,0,1
467,brady hiestand ,3,0,0,0,3
468,branden lee hinkle,0,2,0,0,2
469,branden lee hinkle ,1,0,0,0,1
470,brandon davis,1,6,0,0,7
471,brandon davis ,1,1,0,0,2
472,brandon jenkins,0,2,0,0,2
473,brandon melendez,0,1,0,0,1
474,brandon moreno,5,1,1,0,7
475,brandon moreno ,5,4,1,0,10
476,brandon royval,3,3,0,0,6
477,brandon royval ,4,0,0,0,4
478,brandon thatch,2,2,0,0,4
479,brandon thatch ,0,2,0,0,2
480,brandon vera,0,6,0,0,6
481,brandon vera ,8,1,0,1,10
482,brandon wolff,0,2,0,0,2
483,braxton smith ,0,1,0,0,1
484,brendan allen,5,1,0,0,6
485,brendan allen ,7,2,0,0,9
486,brendan loughnane ,0,1,0,0,1
487,brendan o'reilly,1,2,0,0,3
488,brendan o'reilly ,0,1,0,0,1
489,brendan schaub,1,4,0,0,5
490,brendan schaub ,5,1,0,0,6
491,brendon marotte,0,2,0,0,2
492,brendson ribeiro,1,2,0,0,3
493,brett johns,1,2,0,0,3
494,brett johns ,4,0,0,0,4
495,brian bowles,0,1,0,0,1
496,brian bowles ,2,1,0,0,3
497,brian camozzi,0,3,0,0,3
498,brian cobb,0,1,0,0,1
499,brian ebersole,3,0,0,0,3
500,brian ebersole ,2,3,0,0,5
501,brian foster,1,2,0,0,3
502,brian foster ,2,0,0,0,2
503,brian gassaway,0,1,0,0,1
504,brian geraghty,0,1,0,0,1
505,brian houston,0,2,0,0,2
506,brian johnston,0,4,0,0,4
507,brian johnston ,2,0,0,0,2
508,brian kelleher,4,4,0,0,8
509,brian kelleher ,4,5,0,0,9
510,brian melancon,1,1,0,0,2
511,brian ortega,5,2,0,1,8
512,brian ortega ,3,2,0,0,5
513,brian stann,1,5,0,0,6
514,brian stann ,5,0,0,0,5
515,brianna van buren,1,1,0,0,2
516,bristol marunde,0,1,0,0,1
517,bristol marunde ,0,1,0,0,1
518,brock jardine,0,2,0,0,2
519,brock larson,0,3,0,0,3
520,brock larson ,3,0,0,0,3
521,brock lesnar,0,1,0,0,1
522,brock lesnar ,4,2,0,1,7
523,brodie farber,0,2,0,0,2
524,brogan walker,0,1,0,0,1
525,brogan walker ,0,1,0,0,1
526,brok weaver,0,1,0,0,1
527,brok weaver ,1,1,0,0,2
528,bruna brasil,2,1,0,0,3
529,bruna brasil ,0,1,0,0,1
530,brunno ferreira,2,0,0,0,2
531,brunno ferreira ,1,1,0,0,2
532,bruno korea ,0,1,0,0,1
533,bruno santos,1,1,0,0,2
534,bruno santos ,0,1,0,0,1
535,bruno silva,6,4,0,1,11
536,bruno silva ,2,3,0,0,5
537,bruno souza,0,2,0,0,2
538,bryan barberena,6,6,0,0,12
539,bryan barberena ,3,4,0,0,7
540,bryan battle,3,0,0,0,3
541,bryan battle ,4,1,0,1,6
542,bryan caraway,3,3,0,0,6
543,bryan caraway ,3,1,0,0,4
544,bryce mitchell,2,1,0,0,3
545,bryce mitchell ,6,1,0,0,7
546,bubba bush,0,0,0,1,1
547,bubba bush ,0,1,0,0,1
548,buddy roberts,0,1,0,0,1
549,buddy roberts ,1,0,0,0,1
550,byron bloodworth,0,2,0,0,2
551,cain carrizosa,0,2,0,0,2
552,cain velasquez,2,1,0,0,3
553,cain velasquez ,10,2,0,0,12
554,caio borralho,3,0,0,0,3
555,caio borralho ,4,0,0,0,4
556,caio machado,0,2,0,0,2
