,Fighter,Win,Loss,Draw,No Contest,Total Matches
916,dan severn ,8,0,0,0,8
917,dan stittgen,0,1,0,0,1
918,dan stittgen ,0,1,0,0,1
919,danaa batgerel,0,1,0,0,1
920,danaa batgerel ,3,0,0,0,3
921,daniel barez,0,1,0,0,1
922,daniel barez ,1,0,0,0,1
923,daniel cormier,3,2,0,0,5
924,daniel cormier ,8,1,0,1,10
925,daniel da silva,0,1,0,0,1
926,daniel da silva ,0,2,0,0,2
927,daniel jolly,0,1,0,0,1
928,daniel jolly ,0,1,0,0,1
929,daniel kelly,2,2,0,0,4
930,daniel kelly ,4,2,0,0,6
931,daniel lacerda,0,2,0,1,3
932,daniel marcos,4,0,0,0,4
933,daniel marcos ,0,0,0,1,1
934,daniel omielanczuk,2,2,0,0,4
935,daniel omielanczuk ,2,3,0,0,5
936,daniel pineda,3,7,0,1,11
937,daniel pineda ,2,1,0,0,3
938,daniel roberts,2,2,0,0,4
939,daniel roberts ,1,2,0,0,3
940,daniel rodriguez,4,2,0,0,6
941,daniel rodriguez ,4,2,0,0,6
942,daniel santos,1,1,0,0,2
943,daniel santos ,1,0,0,0,1
944,daniel sarafian,0,1,0,0,1
945,daniel sarafian ,2,3,0,0,5
946,daniel spitz,1,2,0,0,3
947,daniel spitz ,0,1,0,0,1
948,daniel spohn,0,1,0,0,1
949,daniel teymur,0,3,0,0,3
950,daniel teymur ,1,1,0,0,2
951,daniel zellhuber,1,1,0,0,2
952,daniel zellhuber ,2,1,0,0,3
953,danielle taylor,2,1,0,0,3
954,danielle taylor ,0,2,0,0,2
955,danillo villefort,0,1,0,0,1
956,danilo belluardo,0,2,0,0,2
957,danilo marques,2,2,0,0,4
958,danny abbadi,0,2,0,0,2
959,danny barlow,1,0,0,0,1
960,danny barlow ,1,0,0,0,1
961,danny castillo,3,5,0,0,8
962,danny castillo ,4,2,0,0,6
963,danny chavez,1,2,0,0,3
964,danny chavez ,0,0,1,0,1
965,danny downes,0,1,0,0,1
966,danny downes ,0,1,0,0,1
967,danny henry,0,1,0,0,1
968,danny henry ,2,1,0,0,3
969,danny martinez,1,2,0,0,3
970,danny martinez ,0,1,0,0,1
971,danny mitchell,0,2,0,0,2
972,danny roberts,1,3,0,0,4
973,danny roberts ,6,4,0,0,10
974,danny silva,1,0,0,0,1
975,dante rivera,0,1,0,0,1
976,danyelle wolf,0,1,0,0,1
977,daria zhelezniakova,1,1,0,0,2
978,darian weeks,0,2,0,0,2
979,darian weeks ,0,1,0,0,1
980,darko stosic,1,1,0,0,2
981,darko stosic ,0,2,0,0,2
982,daron cruickshank,2,3,0,1,6
983,daron cruickshank ,4,3,0,0,7
984,darrel gholar,0,1,0,0,1
985,darrell horcher,1,3,0,0,4
986,darrell montague,0,2,0,0,2
987,darrell montague ,0,1,0,0,1
988,darren elkins,7,3,0,0,10
989,darren elkins ,12,7,0,0,19
990,darren stewart,5,4,0,2,11
991,darren stewart ,0,3,0,0,3
992,darren till,4,3,1,0,8
993,darren till ,2,2,0,0,4
994,darren uyenoyama,1,1,0,0,2
995,darren uyenoyama ,1,1,0,0,2
996,darrick minner,1,3,0,0,4
997,darrick minner ,1,1,0,0,2
998,darrill schoonover,0,1,0,0,1
999,darrius flowers,0,3,0,0,3
1000,dashon johnson,0,2,0,0,2
1001,dave beneteau,0,3,0,0,3
1002,dave beneteau ,3,0,0,0,3
1003,dave berry,0,1,0,0,1
1004,dave galera,0,1,0,0,1
1005,dave herman,0,4,0,0,4
1006,dave herman ,1,0,0,0,1
1007,dave menne,0,4,0,0,4
1008,dave menne ,2,0,0,0,2
1009,dave strasser,0,1,0,0,1
1010,dave strasser ,1,0,0,0,1
1011,davey grant,4,2,0,0,6
1012,davey grant ,3,4,0,0,7
1013,davi ramos,1,2,0,0,3
1014,davi ramos ,3,1,0,0,4
1015,david abbott,0,10,0,0,10
1016,david abbott ,8,0,0,0,8
1017,david baron,0,1,0,0,1
1018,david bielkheden,0,2,0,0,2
1019,david bielkheden ,1,0,0,0,1
1020,david branch,3,2,0,0,5
1021,david branch ,1,3,0,0,4
1022,david dodd,0,2,0,0,2
1023,david dvorak,2,1,0,0,3
1024,david dvorak ,1,2,0,0,3
1025,david heath,0,3,0,0,3
1026,david heath ,2,0,0,0,2
1027,david hood,0,1,0,0,1
1028,david kaplan,0,2,0,0,2
1029,david lee,0,2,0,0,2
1030,david levicki,0,1,0,0,1
1031,david loiseau,0,4,0,0,4
1032,david loiseau ,4,1,0,0,5
1033,david michaud,0,1,0,0,1
1034,david michaud ,1,1,0,0,2
1035,david mitchell,1,4,0,0,5
1036,david onama,2,2,0,0,4
1037,david onama ,3,0,0,0,3
1038,david roberts,0,1,0,0,1
1039,david terrell,0,1,0,0,1
1040,david terrell ,2,0,0,0,2
1041,david teymur,2,1,0,0,3
1042,david teymur ,3,0,0,0,3
1043,david velasquez,0,1,0,0,1
1044,david zawada,1,3,0,0,4
1045,david zawada ,0,1,0,0,1
1046,dean barry ,0,1,0,0,1
1047,dean lister,0,2,0,0,2
1048,dean lister ,4,0,0,0,4
1049,deanna bennett ,0,0,1,0,1
1050,deiveson figueiredo,7,2,0,0,9
1051,deiveson figueiredo ,6,2,1,0,9
1052,delson heleno ,0,1,0,0,1
1053,demetrious johnson,3,1,0,0,4
1054,demetrious johnson ,12,1,1,0,14
1055,demian maia,3,5,0,0,8
1056,demian maia ,19,6,0,0,25
1057,denis kang,0,2,0,0,2
1058,denis kang ,1,0,0,0,1
1059,denis stojnic,0,2,0,0,2
1060,denis tiuliulin,0,5,0,0,5
1061,denis tiuliulin ,1,0,0,0,1
1062,denise gomes,4,1,0,0,5
1063,denise gomes ,0,1,0,0,1
1064,dennis bermudez,1,2,0,0,3
1065,dennis bermudez ,9,5,0,0,14
1066,dennis buzukja,0,1,0,0,1
1067,dennis buzukja ,1,2,0,0,3
1068,dennis hallman,3,4,0,0,7
1069,dennis hallman ,1,1,0,0,2
1070,dennis siver,3,6,0,0,9
1071,dennis siver ,9,2,0,1,12
1072,denys bondar,0,3,0,0,3
1073,dequan townsend,0,3,0,0,3
1074,dequan townsend ,0,1,0,0,1
1075,derek brunson,4,5,0,0,9
1076,derek brunson ,10,2,0,0,12
1077,derek downey,0,1,0,0,1
1078,deron winn,0,2,0,0,2
1079,deron winn ,2,1,0,0,3
1080,derrick krantz,0,2,0,0,2
1081,derrick lewis,3,4,0,0,7
1082,derrick lewis ,16,6,0,0,22
1083,derrick noble,0,1,0,0,1
1084,desmond green,2,3,0,0,5
1085,desmond green ,2,0,0,0,2
1086,devin clark,4,5,0,0,9
1087,devin clark ,4,4,0,0,8
1088,devin powell ,1,3,0,0,4
1089,devonte smith ,3,3,0,0,6
1090,dhiego lima,3,3,0,0,6
1091,dhiego lima ,1,4,0,0,5
1092,diana belbita,0,3,0,0,3
1093,diana belbita ,2,2,0,0,4
1094,diego brandao,1,2,0,0,3
1095,diego brandao ,5,2,0,0,7
1096,diego ferreira,7,1,0,0,8
1097,diego ferreira ,3,4,0,0,7
1098,diego lopes,3,1,0,0,4
1099,diego lopes ,2,0,0,0,2
1100,diego nunes,3,2,0,0,5
1101,diego nunes ,0,1,0,0,1
1102,diego rivas,1,1,0,0,2
1103,diego rivas ,1,1,0,0,2
1104,diego sanchez,1,7,0,0,8
1105,diego sanchez ,18,6,0,0,24
1106,diego saraiva,0,3,0,0,3
1107,dieusel berto,0,1,0,0,1
1108,dileno lopes,0,2,0,0,2
1109,din thomas,0,4,0,0,4
1110,din thomas ,5,0,0,0,5
1111,dione barbosa,0,1,0,0,1
1112,dione barbosa ,1,0,0,0,1
1113,dmitri stepanov,0,1,0,0,1
1114,dmitrii smoliakov,0,2,0,0,2
1115,dmitrii smoliakov ,0,1,0,0,1
1116,dmitry sosnovskiy,1,0,0,0,1
1117,dokonjonosuke mishima,0,2,0,0,2
1118,domingo pilarte,0,1,0,0,1
1119,domingo pilarte ,0,1,0,1,2
1120,dominic waters,0,3,0,0,3
1121,dominick cruz,2,2,0,0,4
1122,dominick cruz ,5,1,0,0,6
1123,dominick reyes,5,1,0,0,6
1124,dominick reyes ,3,3,0,0,6
1125,dominique steele,0,4,0,0,4
1126,dominique steele ,1,0,0,0,1
1127,don frye,0,1,0,0,1
1128,don frye ,9,0,0,0,9
1129,don madge,1,0,0,0,1
1130,don madge ,1,0,0,0,1
1131,don shainis,0,2,0,0,2
1132,don'tale mayes,1,5,0,0,6
1133,don'tale mayes ,3,1,0,0,4
1134,donald cerrone,5,8,0,0,13
1135,donald cerrone ,18,6,0,1,25
1136,dong hyun kim,3,2,0,1,6
1137,dong hyun kim ,10,2,0,0,12
1138,dong hyun ma,2,4,0,0,6
1139,dong hyun ma ,1,1,0,0,2
1140,donghun choi,1,0,0,0,1
1141,dongi yang,1,3,0,0,4
1142,dongi yang ,1,0,0,0,1
1143,donnie chappell,0,1,0,0,1
1144,donny walker,0,2,0,0,2
1145,dooho choi,2,2,0,0,4
1146,dooho choi ,3,1,1,0,5
1147,dorian price,0,1,0,0,1
1148,doug evans,0,2,0,0,2
1149,douglas silva de andrade,2,2,0,0,4
1150,douglas silva de andrade ,5,4,0,0,9
1151,drakkar klose,6,3,0,0,9
1152,drakkar klose ,3,0,0,0,3
1153,drako rodriguez,0,2,0,0,2
1154,drew dober,4,7,0,1,12
1155,drew dober ,9,3,0,0,12
1156,drew fickett,0,3,0,0,3
1157,drew fickett ,4,0,0,0,4
1158,drew mcfedries,0,5,0,0,5
1159,drew mcfedries ,4,0,0,0,4
1160,dricus du plessis,7,0,0,0,7
1161,dricus du plessis ,1,0,0,0,1
1162,duane ludwig,1,3,0,0,4
1163,duane ludwig ,3,2,0,0,5
1164,duda santana,0,1,0,0,1
1165,dusko todorovic,3,4,0,0,7
1166,dusko todorovic ,0,1,0,0,1
1167,dustin hazelett,0,4,0,0,4
1168,dustin hazelett ,5,1,0,0,6
1169,dustin jacoby,1,3,1,0,5
1170,dustin jacoby ,7,3,0,0,10
1171,dustin kimura,1,3,0,0,4
1172,dustin kimura ,1,0,0,0,1
1173,dustin neace,0,1,0,0,1
1174,dustin ortiz,3,4,0,0,7
1175,dustin ortiz ,5,2,0,0,7
1176,dustin pague,0,2,0,0,2
1177,dustin pague ,1,3,0,0,4
1178,dustin poirier,3,5,0,1,9
1179,dustin poirier ,19,3,0,0,22
1180,dustin stoltzfus,3,4,0,0,7
1181,dustin stoltzfus ,0,1,0,0,1
1182,dwayne cason,0,1,0,0,1
1183,dwayne cason ,1,0,0,0,1
1184,dwight grant,1,3,0,0,4
1185,dwight grant ,2,2,0,0,4
1186,dylan andrews ,2,3,0,0,5
1187,dylan budka,0,1,0,0,1
1188,dylan budka ,0,1,0,0,1
1189,ebenezer fontes braga ,1,0,0,0,1
1190,ed herman,3,9,0,1,13
1191,ed herman ,10,3,0,0,13
1192,eddie alvarez,3,1,0,0,4
1193,eddie alvarez ,1,2,0,1,4
1194,eddie gordon,1,1,0,0,2
1195,eddie gordon ,0,2,0,0,2
1196,eddie mendez,0,1,0,0,1
1197,eddie ruiz,0,1,0,0,1
1198,eddie sanchez,0,3,0,0,3
1199,eddie sanchez ,3,0,0,0,3
1200,eddie wineland,2,4,0,0,6
1201,eddie wineland ,4,6,0,0,10
1202,eddie yagin,1,1,0,0,2
1203,edgar chairez,0,1,0,0,1
1204,edgar chairez ,1,1,0,1,3
1205,edgar garcia,0,3,0,0,3
1206,edgar garcia ,0,1,0,0,1
1207,edilberto de oliveira,0,2,0,0,2
1208,edimilson souza,1,0,0,0,1
1209,edimilson souza ,2,1,0,0,3
1210,edmen shahbazyan,2,2,0,0,4
1211,edmen shahbazyan ,4,3,0,0,7
1212,ednaldo oliveira,0,1,0,0,1
1213,ednaldo oliveira ,0,1,0,0,1
1214,edson barboza,7,3,0,0,10
1215,edson barboza ,11,9,0,0,20
1216,eduarda moura,1,0,0,0,1
1217,eduarda moura ,1,1,0,0,2
1218,eduardo garagorri,0,2,0,0,2
1219,eduardo garagorri ,1,0,0,0,1
1220,edward faaloloto,0,2,0,0,2
1221,edwin dewees,0,3,0,0,3
1222,edwin figueroa,1,3,0,0,4
1223,edwin figueroa ,1,1,0,0,2
1224,efrain escudero,0,4,0,0,4
1225,efrain escudero ,5,3,0,0,8
1226,eiji mitsuoka,0,2,0,0,2
1227,eldo xavier dias,0,1,0,0,1
1228,elias garcia,0,1,0,0,1
1229,elias garcia ,0,1,0,0,1
1230,elias silverio,2,1,0,0,3
1231,elias silverio ,1,1,0,0,2
1232,elias theodorou,1,2,0,0,3
1233,elias theodorou ,7,1,0,0,8
1234,eliot marshall,0,2,0,0,2
1235,eliot marshall ,3,1,0,0,4
1236,elise reed,3,3,0,0,6
1237,elise reed ,1,1,0,0,2
1238,elizabeth phillips,1,2,0,0,3
1239,elizabeth phillips ,0,1,0,0,1
1240,elizeu zaleski dos santos,3,2,1,0,6
1241,elizeu zaleski dos santos ,8,2,0,0,10
1242,elves brener,2,1,0,0,3
1243,elves brener ,1,1,0,0,2
1244,elvis mutapcic,0,1,1,0,2
1245,elvis mutapcic ,0,1,0,0,1
1246,elvis sinosic,0,6,0,0,6
1247,elvis sinosic ,1,0,0,0,1
1248,emil meek,1,2,0,0,3
1249,emil meek ,0,1,0,0,1
1250,emily ducote,2,2,0,0,4
1251,emily ducote ,0,1,0,0,1
1252,emily kagan,0,1,0,0,1
1253,emily kagan ,0,1,0,0,1
1254,emily whitmire,2,2,0,0,4
1255,emily whitmire ,0,2,0,0,2
1256,emmanuel yarborough,0,1,0,0,1
1257,enrique barzola,3,0,1,0,4
1258,enrique barzola ,3,3,0,0,6
1259,enrique marin,0,2,0,0,2
1260,enson inoue ,1,0,0,0,1
1261,eric martin,0,1,0,0,1
1262,eric schafer,0,5,0,0,5
1263,eric schafer ,3,1,0,0,4
1264,eric shelton,2,1,0,0,3
1265,eric shelton ,0,3,0,0,3
1266,eric spicely,1,2,0,0,3
1267,eric spicely ,1,3,0,0,4
1268,eric wisely,0,2,0,0,2
1269,erick gonzalez,0,2,0,0,2
1270,erick gonzalez ,0,1,0,0,1
1271,erick montano ,1,2,0,0,3
1272,erick silva,0,4,0,0,4
1273,erick silva ,7,4,0,0,11
1274,ericka almeida,0,2,0,0,2
1275,erik koch,2,1,0,0,3
1276,erik koch ,3,4,0,0,7
1277,erik perez,3,1,0,0,4
1278,erik perez ,4,1,0,0,5
1279,erik silva,0,1,0,0,1
1280,erik silva ,0,1,0,0,1
1281,erin blanchfield,2,0,0,0,2
1282,erin blanchfield ,4,1,0,0,5
1283,ernest chavez,0,2,0,0,2
1284,ernest chavez ,1,0,0,0,1
1285,ernesta kareckaite,0,1,0,0,1
1286,ernie verdicia,0,1,0,0,1
1287,eryk anders,2,5,0,0,7
1288,eryk anders ,7,3,0,1,11
1289,esteban ribovics,3,0,0,0,3
1290,esteban ribovics ,0,1,0,0,1
1291,estevan payan,0,2,0,0,2
1292,estevan payan ,0,1,0,0,1
1293,eugene jackson,0,4,0,0,4
1294,eugene jackson ,3,0,0,0,3
1295,eugenio tadeu,0,1,0,0,1
1296,evan dunham,4,7,1,0,12
1297,evan dunham ,7,2,0,0,9
1298,evan elder,0,2,0,0,2
1299,evan elder ,2,0,0,0,2
1300,evan tanner,0,6,0,0,6
1301,evan tanner ,11,0,0,0,11
1302,fabiano iha,0,4,0,0,4
1303,fabiano iha ,3,0,0,0,3
1304,fabiano scherner,0,2,0,0,2
1305,fabio cherant,0,3,0,0,3
1306,fabio gurgel,0,1,0,0,1
1307,fabio maldonado,1,4,0,0,5
1308,fabio maldonado ,4,2,0,0,6
1309,fabricio camoes,0,3,1,0,4
1310,fabricio camoes ,1,1,0,0,2
1311,fabricio werdum,3,3,0,0,6
1312,fabricio werdum ,9,3,0,0,12
1313,falaniko vitale,0,1,0,0,1
1314,falaniko vitale ,1,0,0,0,1
1315,fares ziam,3,2,0,0,5
1316,fares ziam ,3,0,0,0,3
1317,farid basharat,1,0,0,0,1
1318,farid basharat ,2,0,0,0,2
1319,fatima kline,0,1,0,0,1
1320,felice herrig,1,2,0,0,3
1321,felice herrig ,4,3,0,0,7
1322,felicia spencer,1,2,0,0,3
1323,felicia spencer ,2,1,0,0,3
1324,felipe arantes,2,2,0,0,4
1325,felipe arantes ,3,4,1,0,8
1326,felipe bunes,0,1,0,0,1
1327,felipe colares,2,4,0,0,6
1328,felipe dos santos,1,1,0,0,2
1329,felipe dos santos ,0,1,0,0,1
1330,felipe lima,2,0,0,0,2
1331,felipe olivieri,0,1,0,0,1
1332,felipe silva,1,2,0,0,3
1333,felix lee mitchell,0,3,0,0,3
1334,feng xiaocan,0,1,0,0,1
1335,fernando bruno,0,2,0,0,2
1336,fernando padilla,1,1,0,0,2
1337,fernando padilla ,1,1,0,0,2
1338,fernie garcia,0,2,0,0,2
1339,fernie garcia ,0,1,0,0,1
1340,filip pejic ,0,1,0,0,1
1341,flavio luiz moura,0,1,0,0,1
1342,floyd sword,0,1,0,0,1
1343,forrest griffin,0,5,0,0,5
1344,forrest griffin ,10,0,0,0,10
1345,forrest petz,0,4,0,0,4
1346,forrest petz ,2,1,0,0,3
1347,francesco maturi,0,1,0,0,1
1348,francimar barroso,2,2,0,0,4
1349,francimar barroso ,2,2,0,1,5
1350,francis carmont,3,1,0,0,4
1351,francis carmont ,3,2,0,0,5
1352,francis marshall,2,0,0,0,2
1353,francis marshall ,0,2,0,0,2
1354,francis ngannou,4,1,0,0,5
1355,francis ngannou ,8,1,0,0,9
1356,francisco figueiredo,1,1,0,0,2
1357,francisco figueiredo ,1,1,0,0,2
1358,francisco prado,1,2,0,0,3
1359,francisco rivera,3,3,0,1,7
1360,francisco rivera ,1,3,0,0,4
1361,francisco trevino,1,0,0,0,1
1362,francisco trevino ,0,2,0,0,2
1363,francisco trinaldo,3,5,0,0,8
1364,francisco trinaldo ,15,3,0,0,18
1365,frank camacho,2,3,0,0,5
1366,frank camacho ,0,3,0,0,3
1367,frank caracci,0,1,0,0,1
1368,frank hamaker ,1,0,0,0,1
1369,frank lester,0,1,0,0,1
1370,frank mir,1,7,0,0,8
1371,frank mir ,15,4,0,0,19
1372,frank shamrock ,5,0,0,0,5
1373,frank trigg,0,5,0,0,5
1374,frank trigg ,2,0,0,0,2
1375,frankie edgar,2,6,0,0,8
1376,frankie edgar ,16,5,1,0,22
1377,frankie perez,1,1,0,0,2
1378,frankie perez ,0,2,0,0,2
1379,frankie saenz,3,2,0,0,5
1380,frankie saenz ,2,3,0,0,5
1381,fred ettish,0,1,0,0,1
1382,fredson paixao ,0,1,0,0,1
1383,fredy serrano,2,2,0,0,4
1384,gabe green,0,3,0,0,3
1385,gabe green ,2,0,0,0,2
1386,gabe ruediger,0,3,0,0,3
1387,gabriel benitez,1,1,0,0,2
1388,gabriel benitez ,6,7,0,0,13
1389,gabriel bonfim ,3,1,0,0,4
1390,gabriel gonzaga,0,8,0,0,8
1391,gabriel gonzaga ,12,2,0,0,14
1392,gabriel miranda,1,2,0,0,3
1393,gabriel santos,1,2,0,0,3
1394,gabriel silva,0,1,0,0,1
1395,gabriel silva ,0,1,0,0,1
1396,gabriella fernandes,2,2,0,0,4
1397,gadzhi omargadzhiev,0,2,0,0,2
1398,gadzhimurad antigulov,2,1,0,0,3
1399,gadzhimurad antigulov ,0,3,0,0,3
1400,gaetano pirrello,0,2,0,0,2
1401,galore bofando,1,1,0,0,2
1402,gan mcgee,0,2,0,0,2
1403,gan mcgee ,2,0,0,0,2
1404,garett whiteley,0,3,0,0,3
1405,garreth mclellan,1,2,0,0,3
1406,garreth mclellan ,0,2,0,0,2
1407,garrett armfield,1,3,0,0,4
1408,gary goodridge,0,4,0,0,4
1409,gary goodridge ,4,0,0,0,4
1410,gasan umalatov,1,3,0,0,4
1411,gaston bolanos,1,1,0,0,2
1412,gaston bolanos ,1,0,0,0,1
1413,gavin tucker,1,2,0,0,3
1414,gavin tucker ,3,1,0,0,4
1415,geane herrera,1,3,0,0,4
1416,gegard mousasi,4,2,0,0,6
1417,gegard mousasi ,5,1,0,0,6
1418,genaro valdez,0,3,0,0,3
1419,genki sudo,0,1,0,0,1
1420,genki sudo ,2,0,0,0,2
1421,geoff neal,2,2,0,0,4
1422,geoff neal ,5,2,0,0,7
1423,george roop,2,6,0,0,8
1424,george roop ,3,2,0,0,5
1425,george sotiropoulos ,7,4,0,0,11
1426,george sullivan,1,2,0,0,3
1427,george sullivan ,2,2,0,0,4
1428,georges st-pierre,1,2,0,0,3
1429,georges st-pierre ,19,0,0,0,19
1430,gerald harris ,3,1,0,0,4
1431,gerald meerschaert,8,7,0,0,15
1432,gerald meerschaert ,4,3,0,0,7
1433,gerald strebendt,0,1,0,0,1
1434,geraldo de freitas ,1,2,0,0,3
1435,germaine de randamie,4,3,0,0,7
1436,germaine de randamie ,3,0,0,0,3
1437,gerry harris,0,1,0,0,1
1438,geza kalman,0,1,0,0,1
1439,geza kalman ,1,0,0,0,1
1440,gian villante,3,3,0,0,6
1441,gian villante ,4,8,0,0,12
1442,gideon ray,0,3,0,0,3
1443,giga chikadze,2,2,0,0,4
1444,giga chikadze ,5,0,0,0,5
1445,gil castillo,0,2,0,0,2
1446,gil castillo ,1,0,0,0,1
1447,gilbert aldana,0,2,0,0,2
1448,gilbert burns,6,3,0,0,9
1449,gilbert burns ,9,5,0,0,14
1450,gilbert melendez,0,4,0,0,4
1451,gilbert melendez ,1,2,0,0,3
1452,gilbert smith,0,1,0,0,1
1453,gilbert urbina,1,1,0,0,2
1454,gilbert urbina ,0,1,0,0,1
1455,gilbert yvel,0,3,0,0,3
1456,gillian robertson,5,4,0,0,9
1457,gillian robertson ,7,2,0,0,9
1458,gina mazany,1,3,0,0,4
1459,gina mazany ,1,3,0,0,4
1460,glaico franca moreira ,1,2,0,0,3
1461,gleison tibau,4,8,0,0,12
1462,gleison tibau ,12,4,0,0,16
1463,gloria de paula,1,2,0,0,3
1464,gloria de paula ,0,1,0,0,1
1465,glover teixeira,5,3,0,0,8
1466,glover teixeira ,11,4,0,0,15
1467,godofredo pepey,0,3,0,0,3
1468,godofredo pepey ,5,3,0,0,8
1469,gokhan saki ,1,1,0,0,2
1470,goran reljic,0,3,0,0,3
1471,goran reljic ,1,0,0,0,1
1472,grant dawson,4,0,0,0,4
1473,grant dawson ,6,1,1,0,8
1474,gray maynard,1,1,1,0,3
1475,gray maynard ,10,6,0,1,17
1476,greg hardy,1,4,0,0,5
1477,greg hardy ,3,1,0,1,5
1478,greg soto,1,2,0,0,3
1479,greg stott,0,1,0,0,1
1480,gregor gillespie,3,1,0,0,4
1481,gregor gillespie ,4,0,0,0,4
1482,gregory rodrigues,6,1,0,0,7
1483,gregory rodrigues ,1,1,0,0,2
1484,grigory popov,0,1,0,0,1
1485,grigory popov ,0,1,0,0,1
1486,guangyou ning,0,1,0,0,1
1487,guangyou ning ,2,1,0,0,3
1488,guido cannetti,3,5,0,0,8
1489,guido cannetti ,1,1,0,0,2
1490,guilherme vasconcelos,0,1,0,0,1
1491,gunnar nelson,3,2,0,0,5
1492,gunnar nelson ,7,3,0,0,10
1493,guram kutateladze,1,1,0,0,2
1494,guram kutateladze ,1,1,0,0,2
1495,gustavo lopez,0,2,0,0,2
1496,gustavo lopez ,1,0,1,0,2
1497,guto inocente,0,2,0,0,2
1498,guy mezger,0,1,0,0,1
1499,guy mezger ,4,0,0,0,4
1500,hacran dias,2,2,0,0,4
1501,hacran dias ,1,3,0,0,4
1502,hailey cowan ,0,1,0,0,1
1503,hakeem dawodu,1,3,0,0,4
1504,hakeem dawodu ,5,1,0,0,6
1505,hamdy abdelwahab,1,0,0,0,1
1506,hannah cifers,1,4,0,0,5
1507,hannah cifers ,1,1,0,0,2
1508,hannah goldy,1,4,0,0,5
1509,hans stringer,1,2,0,0,3
1510,harold howard,0,2,0,0,2
1511,harold howard ,1,0,0,0,1
1512,harry hunsucker,0,3,0,0,3
1513,harry moskowitz,0,2,0,0,2
1514,hatsu hioki,0,2,0,0,2
1515,hatsu hioki ,3,3,0,0,6
1516,hayato sakurai,0,1,0,0,1
1517,hayder hassan,0,1,0,0,1
1518,hayder hassan ,0,1,0,0,1
1519,he-man gipson,0,1,0,0,1
1520,heath herring,0,3,0,0,3
1521,heath herring ,2,0,0,0,2
1522,heather clark,1,2,0,0,3
1523,hector aldana,0,3,0,0,3
1524,hector lombard,2,5,0,0,7
1525,hector lombard ,1,3,0,1,5
1526,hector ramirez,0,2,0,0,2
1527,hector sandoval,0,2,0,0,2
1528,hector sandoval ,2,0,0,0,2
1529,hector urbina,1,1,0,0,2
1530,hector urbina ,0,1,0,0,1
1531,henrique da silva,1,2,0,0,3
1532,henrique da silva ,1,2,0,0,3
1533,henry briones,0,1,0,0,1
1534,henry briones ,1,3,0,0,4
1535,henry cejudo,3,4,0,0,7
1536,henry cejudo ,7,0,0,0,7
1537,henry martinez,0,2,0,0,2
1538,henry martinez ,1,0,0,0,1
1539,herbert burns,1,3,0,0,4
1540,herbert burns ,1,1,0,0,2
1541,hermes franca,0,5,0,0,5
1542,hermes franca ,6,0,0,0,6
1543,hernani perpetuo,0,1,0,0,1
1544,hernani perpetuo ,0,1,0,0,1
1545,holly holm,2,2,0,0,4
1546,holly holm ,6,6,0,0,12
1547,homer moore,0,1,0,0,1
1548,horacio gutierrez,0,1,0,0,1
1549,horacio gutierrez ,0,1,0,0,1
1550,houston alexander,0,4,0,0,4
1551,houston alexander ,2,0,0,0,2
1552,houston dorr,0,1,0,0,1
1553,hu yaozong,0,1,0,0,1
1554,hu yaozong ,0,2,0,0,2
1555,hugo duarte,0,1,0,0,1
1556,hugo viana,3,1,0,0,4
1557,hugo viana ,0,2,0,0,2
1558,humberto bandenay,1,2,0,0,3
1559,humberto bandenay ,0,1,0,0,1
1560,humberto brown morrison,0,1,0,0,1
1561,hunter azure,2,0,0,0,2
1562,hunter azure ,0,2,0,0,2
1563,hyder amil,2,0,0,0,2
1564,hyun gyu lim,2,2,0,0,4
1565,hyun gyu lim ,1,2,0,0,3
1566,hyunsung park,1,0,0,0,1
1567,hyunsung park ,1,0,0,0,1
1568,ian entwistle,1,1,0,0,2
1569,ian entwistle ,0,1,0,0,1
1570,ian freeman,0,2,1,0,3
1571,ian freeman ,3,0,0,0,3
1572,ian garry,2,0,0,0,2
1573,ian garry ,4,0,0,0,4
1574,ian heinisch,2,3,0,0,5
1575,ian heinisch ,1,1,0,0,2
1576,ian loveland,0,2,0,0,2
1577,ian loveland ,1,0,0,0,1
1578,ian machado garry,1,1,0,0,2
1579,ian machado garry ,1,0,0,0,1
1580,ian mccall,1,2,1,0,4
1581,ian mccall ,1,1,0,0,2
1582,iasmin lucindo,3,1,0,0,4
1583,iasmin lucindo ,1,0,0,0,1
1584,ibo aslan ,1,0,0,0,1
1585,icho larenas,0,1,0,0,1
1586,ignacio bahamondes,3,1,0,0,4
1587,ignacio bahamondes ,2,1,0,0,3
1588,igor araujo,1,0,0,0,1
1589,igor araujo ,1,2,0,0,3
1590,igor pokrajac,2,6,0,0,8
1591,igor pokrajac ,2,2,0,1,5
1592,igor severino ,0,1,0,0,1
1593,igor zinoviev,0,1,0,0,1
1594,ihor potieria,2,5,0,0,7
1595,ike villanueva,0,4,0,0,4
1596,ike villanueva ,1,1,0,0,2
1597,ikram aliskerov,1,1,0,0,2
1598,ikuhisa minowa ,1,0,0,0,1
1599,ildemar alcantara,2,2,0,0,4
1600,ildemar alcantara ,2,1,0,0,3
1601,ilia topuria,6,0,0,0,6
1602,ilia topuria ,1,0,0,0,1
1603,iliarde santos,0,2,0,0,2
1604,iliarde santos ,0,1,0,0,1
1605,ilir latifi,4,4,0,0,8
1606,ilir latifi ,5,3,0,0,8
1607,impa kasanganay,1,0,0,0,1
