Fighter,wins,losses,draws,nc,total_matches
ariane lipski,6,5,0,0,11
ariel beck,0,1,0,0,1
arjan bhullar,3,1,0,0,4
arman tsarukyan,9,2,0,0,11
armen petrosyan,3,2,0,0,5
arnold allen,11,2,0,0,13
artem lobov,2,5,0,0,7
asbel cancio,0,1,0,0,1
ashkan mokhtarian,0,2,0,0,2
ashlee evans-smith,3,6,0,0,9
ashley yoder,3,8,0,0,11
askar askarov,3,1,1,0,5
askar mozharov,0,1,0,0,1
aspen ladd,4,3,0,0,7
assu almabayev,1,0,0,0,1
assuerio silva,0,3,0,0,3
asu almabayev,3,0,0,0,3
augusto mendes,1,2,0,0,3
augusto montano,1,2,0,0,3
augusto sakai,5,4,0,0,9
austen lane,1,2,0,1,4
austin arnett,1,3,0,0,4
austin hubbard,4,6,0,0,10
austin lingo,2,3,0,0,5
austin springer,0,1,0,0,1
azamat gashimov,0,2,0,0,2
azamat murzakanov,4,0,0,0,4
azat maksum,1,1,0,0,2
azunna anyanwu,0,1,0,0,1
baergeng jieleyisi,0,1,0,0,1
barb honchak,0,2,0,0,2
bart palaszewski,1,3,0,0,4
bartosz fabinski,3,3,0,0,6
bas rutten,2,0,0,0,2
bassil hafez,1,2,0,0,3
batgerel danaa,0,3,0,0,3
bea malecki,2,1,0,0,3
bec rawlings,2,5,0,0,7
bekzat almakhan,0,1,0,0,1
belal muhammad,15,3,0,1,19
ben alloway,1,2,0,0,3
ben askren,1,2,0,0,3
ben earwood,1,0,0,0,1
ben nguyen,4,3,0,0,7
ben rothwell,9,8,0,0,17
ben saunders,9,10,0,0,19
ben sosoli,0,1,0,1,2
ben wall,0,2,0,0,2
benardo sopaj,0,1,0,0,1
beneil dariush,16,6,1,0,23
benito lopez,2,2,0,0,4
benji radach,1,1,0,1,3
benoit saint denis,5,3,0,0,8
benson henderson,11,3,0,0,14
bentley syler,0,1,0,0,1
bernardo magalhaes,0,2,0,0,2
besam yousef,0,2,0,0,2
bethe correia,5,6,1,0,12
bevon lewis,1,3,0,0,4
bharat kandare,0,1,0,0,1
bibulatov magomed,1,2,0,0,3
bill algeo,5,5,0,0,10
bill mahood,0,1,0,0,1
billy miles,0,1,0,0,1
billy quarantillo,6,5,0,0,11
billy ray goff,0,1,0,0,1
bj penn,12,13,2,0,27
blagoy ivanov,3,5,0,0,8
blake bilder,1,2,0,0,3
blood diamond,0,3,0,0,3
bo nickal,4,0,0,0,4
bob cook,1,0,0,0,1
bob gilstrap,0,1,0,0,1
bobby green,13,10,1,1,25
bobby hoffman,0,2,0,1,3
bobby moffett,0,2,0,1,3
bobby nash,0,3,0,0,3
bobby southworth,0,1,0,0,1
bobby voelker,0,4,0,0,4
bogdan guskov,2,1,0,0,3
bojan mihajlovic,0,3,0,0,3
bojan velickovic,2,3,1,0,6
bolaji oki,1,1,0,0,2
boston salmon,0,2,0,0,2
brad blackburn,3,2,0,0,5
brad gumm,0,1,1,0,2
brad imes,0,3,0,0,3
brad katona,4,4,0,0,8
brad kohler,1,1,0,0,2
brad morris,0,2,0,0,2
brad pickett,5,9,0,0,14
brad riddell,4,3,0,0,7
brad scott,3,5,0,0,8
brad tavares,15,10,0,0,25
brady hiestand,3,1,0,0,4
branden lee hinkle,1,2,0,0,3
brandon davis,2,7,0,0,9
brandon jenkins,0,2,0,0,2
brandon melendez,0,1,0,0,1
brandon moreno,10,5,2,0,17
brandon royval,7,3,0,0,10
brandon thatch,2,4,0,0,6
brandon vera,8,7,0,1,16
brandon wolff,0,2,0,0,2
braxton smith,0,1,0,0,1
brendan allen,12,3,0,0,15
brendan loughnane,0,1,0,0,1
brendan o'reilly,1,3,0,0,4
brendan schaub,6,5,0,0,11
brendon marotte,0,2,0,0,2
brendson ribeiro,1,2,0,0,3
brett johns,5,2,0,0,7
brian bowles,2,2,0,0,4
brian camozzi,0,3,0,0,3
brian cobb,0,1,0,0,1
brian ebersole,5,3,0,0,8
brian foster,3,2,0,0,5
brian gassaway,0,1,0,0,1
brian geraghty,0,1,0,0,1
brian houston,0,2,0,0,2
brian johnston,2,4,0,0,6
brian kelleher,8,9,0,0,17
brian melancon,1,1,0,0,2
brian ortega,8,4,0,1,13
brian stann,6,5,0,0,11
brianna van buren,1,1,0,0,2
bristol marunde,0,2,0,0,2
brock jardine,0,2,0,0,2
brock larson,3,3,0,0,6
brock lesnar,4,3,0,1,8
brodie farber,0,2,0,0,2
brogan walker,0,2,0,0,2
brok weaver,1,2,0,0,3
bruna brasil,2,2,0,0,4
brunno ferreira,3,1,0,0,4
bruno korea,0,1,0,0,1
bruno santos,1,2,0,0,3
bruno silva,8,7,0,1,16
bruno souza,0,2,0,0,2
bryan barberena,9,10,0,0,19
bryan battle,7,1,0,1,9
bryan caraway,6,4,0,0,10
bryce mitchell,8,2,0,0,10
bubba bush,0,1,0,1,2
buddy roberts,1,1,0,0,2
byron bloodworth,0,2,0,0,2
cain carrizosa,0,2,0,0,2
cain velasquez,12,3,0,0,15
caio borralho,7,0,0,0,7
caio machado,0,3,0,0,3
caio magalhaes,4,3,0,0,7
cal worsham,1,2,0,0,3
cale yarbrough,0,1,0,0,1
callan potter,1,2,0,0,3
calvin kattar,7,6,0,0,13
cameron dollar,0,1,0,0,1
cameron else,0,2,0,0,2
cameron saaiman,3,2,0,0,5
cameron smotherman,1,0,0,0,1
cameron vancamp,0,2,0,0,2
caol uno,3,5,2,0,10
caolan loughran,1,2,0,0,3
carl deaton,0,2,0,0,2
carla esparza,10,6,0,0,16
carli judice,0,1,0,0,1
carlo pedersoli jr.,1,2,0,0,3
carlo prater,1,2,0,0,3
carlos barreto,0,1,0,0,1
carlos candelario,0,2,0,0,2
carlos condit,9,10,0,0,19
carlos eduardo rocha,1,2,0,0,3
carlos felipe,3,2,0,0,5
carlos hernandez,3,3,0,0,6
carlos huachin,0,2,0,0,2
carlos mota,0,1,0,0,1
carlos newton,3,4,0,0,7
carlos prates,4,0,0,0,4
carlos ulberg,7,1,0,0,8
carlos vera,0,1,0,0,1
carls john de tomas,0,2,0,0,2
carlston harris,4,2,0,0,6
carlton minus,0,2,0,0,2
carmelo marrero,1,3,0,0,4
caros fodor,0,1,0,0,1
casey kenney,5,3,0,0,8
casey o'neill,5,2,0,0,7
cat zingano,3,4,0,0,7
cathal pendred,4,2,0,0,6
cb dollaway,11,9,0,0,20
cesar almeida,2,1,0,0,3
cesar arzamendia,0,2,0,0,2
cesar marscucci,1,0,0,0,1
cezar ferreira,9,6,0,0,15
chad anheliger,2,3,0,0,5
chad griggs,0,2,0,0,2
chad laprise,6,4,0,0,10
chad mendes,9,5,0,0,14
chad reiner,0,2,0,0,2
chael sonnen,7,7,0,0,14
chan sung jung,7,4,0,0,11
chan-mi jeon,0,2,0,0,2
chance rencountre,2,2,0,0,4
changho lee,1,0,0,0,1
charalampos grigoriou,0,2,0,0,2
charles byrd,1,3,0,0,4
charles johnson,6,4,0,0,10
charles jourdain,7,7,1,0,15
charles mccarthy,1,2,0,0,3
charles oliveira,23,10,0,1,34
charles radtke,3,1,0,0,4
charles rosa,5,8,0,0,13
charlie brenneman,4,7,0,0,11
charlie campbell,2,0,0,0,2
charlie ontiveros,0,3,0,0,3
charlie valencia,0,1,0,0,1
charlie ward,0,2,0,0,2
chas skelly,8,3,0,1,12
chase gormley,0,2,0,0,2
chase hooper,7,3,0,0,10
chase sherman,4,11,0,0,15
che mills,2,1,0,1,4
cheick kongo,11,6,1,0,18
chelsea chandler,2,2,0,0,4
chepe mariscal,4,0,0,0,4
cheyanne vlismas,2,2,0,0,4
chico camus,3,4,0,1,8
chidi njokuani,4,2,0,0,6
chris avila,0,2,0,0,2
chris barnett,2,2,0,0,4
chris beal,2,3,0,0,5
chris brennan,1,2,0,0,3
chris camozzi,9,10,0,0,19
chris cariaso,7,6,0,0,13
chris clements,2,2,0,1,5
chris condo,0,1,0,0,1
chris cope,1,2,0,0,3
chris curtis,5,3,0,1,9
chris daukaus,4,4,0,0,8
chris de la rocha,1,3,0,0,4
chris dempsey,1,3,0,0,4
chris duncan,3,1,0,0,4
chris fishgold,1,3,0,0,4
chris gruetzemacher,3,4,0,0,7
chris gutierrez,9,3,1,0,13
chris haseman,0,1,0,0,1
chris heatherly,0,2,0,0,2
chris holdsworth,2,0,0,0,2
chris indich,0,2,0,0,2
chris kelades,2,2,0,0,4
chris leben,12,10,0,0,22
chris liguori,0,1,0,0,1
chris lytle,10,10,0,0,20
chris padilla,2,0,0,0,2
chris price,0,2,0,0,2
chris sanford,0,1,0,0,1
chris saunders,0,1,0,0,1
chris spang,0,1,0,0,1
chris tickle,0,1,0,0,1
chris tuchscherer,1,3,0,0,4
chris wade,5,2,0,0,7
chris weidman,12,8,0,0,20
chris wilson,1,3,0,0,4
christian aguilera,1,2,0,0,3
christian colombo,0,2,1,0,3
christian duncan,1,0,0,0,1
