name,nickname,height_cm,weight_in_kg,reach_in_cm,stance,date_of_birth,wins,losses,draws,nc,total_matches
caio magalhaes,Hellboy,185.42,83.91,185.42,Orthodox,1987-12-14,4,3,0,0,7
justin james,,177.8,70.31,,Orthodox,1976-11-08,0,1,0,0,1
jerrod sanders,J-Reazie,172.72,61.23,182.88,Orthodox,1979-10-01,1,2,0,1,4
saimon oliveira,,162.56,61.23,182.88,Orthodox,1991-04-21,0,2,0,0,2
fabricio camoes,Morango,177.8,70.31,180.34,Orthodox,1978-12-23,1,4,1,0,6
shavkat rakhmonov,Nomad,185.42,77.11,195.58,Orthodox,1994-10-23,7,0,0,0,7
dileno lopes,,165.1,61.23,,,,0,2,0,0,2
mike pyle,Quicksand,182.88,77.11,187.96,Orthodox,1975-09-18,10,9,0,0,19
matt veach,,180.34,70.31,,Orthodox,1981-05-31,1,2,0,0,3
ryan spann,Superman,195.58,92.99,200.66,Orthodox,1991-08-24,8,4,0,0,12
godofredo pepey,,170.18,65.77,185.42,Orthodox,1987-07-02,5,6,0,0,11
gerald meerschaert,GM3,185.42,83.91,195.58,Southpaw,1987-12-18,12,10,0,0,22
max rohskopf,Rated R,185.42,70.31,180.34,Orthodox,1994-09-27,0,1,0,0,1
joe solecki,,175.26,70.31,177.8,Orthodox,1993-08-27,5,3,0,0,8
javier vazquez,Showtime,170.18,65.77,175.26,Southpaw,1977-07-16,1,0,0,0,1
chris indich,,177.8,77.11,,,,0,2,0,0,2
gavin tucker,Guv'nor,167.64,65.77,167.64,Southpaw,1986-06-17,4,3,0,0,7
mike malott,Proper,185.42,77.11,185.42,Orthodox,1991-11-07,4,1,0,0,5
oskar piechota,Imadlo,182.88,83.91,193.04,Southpaw,1990-01-24,2,3,0,1,6
jason von flue,Live Wire,182.88,77.11,,Orthodox,1975-08-01,1,2,0,0,3
tony desouza,,182.88,77.11,177.8,Southpaw,1974-07-26,3,3,0,0,6
ilia topuria,El Matador,170.18,65.77,175.26,Orthodox,1997-01-21,7,0,0,0,7
charles byrd,Kid Dynamite,177.8,83.91,185.42,Orthodox,1983-10-11,1,3,0,0,4
teemu packalen,Pacu,185.42,70.31,190.5,Orthodox,1987-05-22,1,3,0,0,4
rafael alves,The Turn,172.72,70.31,172.72,Orthodox,1990-11-14,1,3,0,0,4
thiago tavares,,170.18,65.77,177.8,Orthodox,1984-11-08,10,7,1,0,18
andre muniz,Sergipano,185.42,83.91,198.12,Southpaw,1990-02-17,6,2,0,0,8
matt wiman,,177.8,70.31,172.72,Orthodox,1983-09-19,10,8,0,0,18
patrick walsh,The Beast of the East,180.34,83.91,,,,1,1,0,0,2
michihiro omigawa,,167.64,65.77,172.72,Orthodox,1975-12-19,1,6,0,0,7
paul kelly,,175.26,70.31,177.8,Orthodox,1984-09-12,5,4,0,0,9
grant dawson,KGD,177.8,70.31,182.88,Switch,1994-02-20,10,1,1,0,12
gadzhimurad antigulov,,180.34,92.99,177.8,Orthodox,1987-02-09,2,4,0,0,6
said nurmagomedov,,172.72,61.23,177.8,Orthodox,1992-04-05,6,2,0,0,8
brian bowles,,170.18,61.23,177.8,Orthodox,1980-06-22,2,2,0,0,4
dokonjonosuke mishima,,170.18,70.31,,Southpaw,1972-04-19,0,2,0,0,2
luke cummo,,182.88,77.11,187.96,Orthodox,1980-04-27,3,4,0,0,7
terry etim,,185.42,70.31,185.42,Orthodox,1986-01-11,6,5,0,0,11
bobby moffett,The Wolfman,177.8,65.77,185.42,Orthodox,1990-06-01,0,2,0,1,3
josh barnett,The Warmaster,190.5,113.4,198.12,Orthodox,1977-11-10,7,3,0,0,10
mackenzie dern,,162.56,52.16,160.02,Orthodox,1993-03-24,9,5,0,0,14
colton smith,,182.88,70.31,180.34,Orthodox,1987-08-14,1,3,0,0,4
tony kelley,Primetime,175.26,61.23,177.8,Switch,1987-01-21,2,2,0,0,4
darrell montague,Mongoose,167.64,56.7,170.18,Southpaw,1987-11-03,0,3,0,0,3
rodolfo vieira,,182.88,83.91,185.42,Orthodox,1989-09-25,5,2,0,0,7
carlos eduardo rocha,Ta Danado,177.8,77.11,185.42,Orthodox,1981-07-12,1,2,0,0,3
tom lawlor,Filthy,182.88,92.99,187.96,Southpaw,1983-05-15,6,5,0,0,11
michael mcdonald,Mayday,175.26,61.23,177.8,Orthodox,1991-01-15,6,3,0,0,9
walel watson,The Gazelle,180.34,61.23,190.5,Orthodox,1984-07-16,1,3,0,0,4
mike massenzio,The Master of Disaster,187.96,83.91,185.42,Southpaw,1982-11-01,2,5,0,0,7
roan carneiro,Jucao,180.34,77.11,193.04,Orthodox,1978-06-02,4,5,0,0,9
hector sandoval,Kid Alex,157.48,56.7,162.56,Orthodox,1986-07-19,2,2,0,0,4
livinha souza,The Brazilian Gangsta,160.02,52.16,160.02,Orthodox,1991-03-11,3,3,0,0,6
nikita krylov,The Miner,190.5,92.99,195.58,Orthodox,1992-03-07,11,7,0,0,18
robert mcdaniel,Bubba,190.5,83.91,190.5,Southpaw,1983-05-03,1,2,0,0,3
jason dent,Dynamite,177.8,70.31,180.34,Orthodox,1980-06-12,1,3,0,0,4
yaotzin meza,,175.26,65.77,180.34,Orthodox,1981-02-04,2,4,0,1,7
jimy hettes,The Kid,175.26,65.77,180.34,Southpaw,1987-06-09,3,3,0,0,6
erick silva,,182.88,77.11,187.96,Orthodox,1984-06-21,7,8,0,0,15
claudio puelles,Prince of Peru,177.8,70.31,182.88,Southpaw,1996-04-21,5,3,0,0,8
benoit saint denis,God of War,180.34,70.31,185.42,Southpaw,1995-12-18,5,3,0,0,8
roger zapata,Viva,180.34,77.11,,Southpaw,1986-05-09,0,1,0,0,1
elias garcia,,165.1,56.7,170.18,Southpaw,1992-09-13,0,2,0,0,2
julija stoliarenko,,170.18,56.7,167.64,Orthodox,1993-04-08,2,6,0,0,8
christian rodriguez,,170.18,61.23,180.34,Orthodox,1997-12-17,4,2,0,0,6
josh fremd,,193.04,83.91,193.04,Orthodox,1994-01-15,2,4,0,0,6
marcus davis,The Irish Hand Grenade,177.8,77.11,177.8,Southpaw,1973-08-24,9,6,0,0,15
chris fishgold,,172.72,65.77,172.72,Orthodox,1992-06-06,1,3,0,0,4
mario bautista,,175.26,61.23,175.26,Switch,1993-07-01,9,2,0,0,11
kenny florian,KenFlo,177.8,65.77,187.96,Southpaw,1976-05-26,12,5,0,0,17
muhammad mokaev,The Punisher,170.18,56.7,177.8,Orthodox,2000-07-30,6,0,0,0,6
hunter azure,,172.72,65.77,175.26,Orthodox,1992-03-02,2,2,0,0,4
papy abedi,Makambo,180.34,83.91,,Southpaw,1978-06-30,1,3,0,0,4
rodrigo de lima,Monstro,170.18,70.31,,Orthodox,1991-03-12,0,2,0,0,2
daniel lacerda,Miojo,167.64,56.7,177.8,Switch,1996-06-05,0,2,0,1,3
tj brown,Downtown,175.26,65.77,182.88,Switch,1990-05-22,3,5,0,0,8
nate diaz,,182.88,77.11,193.04,Southpaw,1985-04-16,16,11,0,0,27
mark bocek,,172.72,70.31,190.5,Orthodox,1981-10-24,8,5,0,0,13
liana jojua,She Wolf,162.56,56.7,157.48,Orthodox,1995-03-22,1,3,0,0,4
ben saunders,Killa B,187.96,77.11,195.58,Orthodox,1983-04-13,9,10,0,0,19
matthew lopez,,170.18,61.23,175.26,Southpaw,1987-01-21,2,4,0,0,6
josh thomson,The Punk,177.8,70.31,180.34,Orthodox,1978-09-21,3,4,0,0,7
pablo garza,The Scarecrow,185.42,65.77,185.42,Orthodox,1983-09-16,3,3,0,0,6
alex perez,,167.64,56.7,165.1,Orthodox,1992-03-21,7,5,0,0,12
richard crunkilton,Cleat,170.18,70.31,,Orthodox,1979-11-25,0,1,0,0,1
evan tanner,,182.88,83.91,187.96,Orthodox,1971-02-11,11,6,0,0,17
jacare souza,,185.42,83.91,182.88,Orthodox,1979-12-07,9,7,0,0,16
matt brown,The Immortal,182.88,77.11,190.5,Orthodox,1981-01-10,17,13,0,0,30
barb honchak,Little Warrior,162.56,56.7,165.1,Orthodox,1979-08-30,0,2,0,0,2
joel alvarez,El Fenomeno,190.5,70.31,195.58,Orthodox,1993-03-02,7,2,0,0,9
jason brilz,Hitman,180.34,92.99,180.34,Orthodox,1975-07-07,3,4,0,0,7
eduarda moura,Ronda,167.64,52.16,167.64,Orthodox,1994-02-28,2,1,0,0,3
josh neer,The Dentist,180.34,77.11,182.88,Orthodox,1983-03-24,6,9,0,0,15
matt lindland,The Law,182.88,83.91,187.96,Southpaw,1970-05-17,9,3,0,0,12
ryan couture,,177.8,70.31,185.42,Orthodox,1982-08-27,0,2,0,0,2
bobby southworth,,187.96,92.99,,Orthodox,1969-12-16,0,1,0,0,1
nissen osterneck,,187.96,83.91,,Orthodox,1981-05-01,0,1,0,0,1
paddy holohan,The Hooligan,177.8,56.7,175.26,Orthodox,1988-05-03,3,2,0,0,5
vinicius moreira,Mamute,193.04,92.99,193.04,Orthodox,1989-02-28,0,4,0,0,4
marcus aurelio,Maximus,177.8,70.31,187.96,Orthodox,1973-08-18,2,4,0,0,6
clay harvison,Bushwacker,185.42,77.11,187.96,Orthodox,1980-09-25,1,2,0,0,3
marcin held,,175.26,70.31,180.34,Orthodox,1992-01-18,1,3,0,0,4
edgar chairez,Puro Chicali,170.18,56.7,180.34,Orthodox,1996-01-27,1,2,0,1,4
adam cella,El Naturel,187.96,77.11,,,,0,1,0,0,1
shayna baszler,The Queen of Spades,170.18,61.23,,Orthodox,1980-08-08,0,2,0,0,2
miesha tate,Cupcake,167.64,61.23,165.1,Orthodox,1986-08-18,7,6,0,0,13
thiago moises,,175.26,70.31,177.8,Orthodox,1995-03-23,7,6,0,0,13
jason miller,Mayhem,185.42,83.91,,Orthodox,1980-12-24,0,3,0,0,3
sam hoger,The Alaskan Assassin,187.96,92.99,,Orthodox,1980-06-28,2,3,0,0,5
brian ortega,T-City,172.72,65.77,175.26,Switch,1991-02-21,8,4,0,1,13
ricardo almeida,Big Dog,182.88,77.11,187.96,Orthodox,1976-11-29,6,5,0,0,11
john alessio,The Natural,177.8,70.31,182.88,Orthodox,1979-07-05,0,5,0,0,5
daiju takase,,182.88,77.11,,Southpaw,1978-04-20,0,3,0,0,3
fabricio werdum,Vai Cavalo,193.04,104.78,195.58,Orthodox,1977-07-30,12,6,0,0,18
billy quarantillo,,177.8,65.77,177.8,Orthodox,1988-12-08,6,5,0,0,11
denis kang,,180.34,83.91,195.58,Orthodox,1977-09-17,1,2,0,0,3
bobby hoffman,The Truth,187.96,111.13,,Orthodox,1968-10-28,0,2,0,1,3
alvin robinson,,175.26,70.31,172.72,Southpaw,1982-07-16,1,3,0,0,4
michael mcbride,,185.42,70.31,,Orthodox,1986-03-09,0,2,0,0,2
cb dollaway,The Doberman,187.96,83.91,193.04,Orthodox,1983-08-10,11,9,0,0,20
jeremiah wells,,175.26,77.11,187.96,Switch,1986-10-30,4,2,0,0,6
kevin ferguson,Kimbo Slice,187.96,106.59,195.58,Orthodox,1974-02-08,1,1,0,0,2
paulo thiago,,180.34,77.11,187.96,Orthodox,1981-01-25,5,8,0,0,13
elvis sinosic,The King of Rock n' Rumble,190.5,92.99,195.58,Orthodox,1971-02-13,1,6,0,0,7
sean brady,,177.8,77.11,182.88,Orthodox,1992-11-23,7,1,0,0,8
yuta sasaki,Ulka,177.8,56.7,180.34,Southpaw,1989-10-07,4,5,0,0,9
yizha,,170.18,65.77,180.34,Orthodox,1997-01-08,0,1,0,0,1
leandro issa,Brodinho,170.18,61.23,175.26,Orthodox,1983-09-19,2,3,0,0,5
travis wiuff,The Diesel,190.5,92.99,,Orthodox,1978-03-15,0,2,0,0,2
jordan johnson,,187.96,92.99,200.66,Orthodox,1988-11-18,4,0,0,0,4
tresean gore,Mr. Vicious,182.88,83.91,190.5,Switch,1994-06-21,2,2,0,0,4
gilbert smith,,175.26,83.91,,Southpaw,1981-10-19,0,1,0,0,1
jake shields,,182.88,77.11,182.88,Orthodox,1979-01-09,4,3,0,1,8
jeff curran,Big Frog,167.64,61.23,175.26,Orthodox,1977-09-02,0,3,0,0,3
gabriel santos,Mosquitinho,175.26,65.77,177.8,Orthodox,1996-11-28,1,2,0,0,3
donald cerrone,Cowboy,185.42,70.31,185.42,Orthodox,1983-03-29,23,14,0,1,38
jalin turner,The Tarantula,190.5,70.31,195.58,Southpaw,1995-05-18,7,5,0,0,12
yan cabral,,180.34,70.31,185.42,Orthodox,1983-05-13,2,3,0,0,5
jesse forbes,Kid Hercules,187.96,83.91,190.5,Southpaw,1984-10-24,0,3,0,0,3
jared rollins,J-Roc,175.26,77.11,,Orthodox,1977-01-26,0,1,0,0,1
kamuela kirk,The Jawaiian,177.8,70.31,190.5,Switch,1994-04-13,1,2,0,0,3
murilo bustamante,,187.96,83.01,,Orthodox,1966-07-30,3,1,0,0,4
dustin poirier,The Diamond,175.26,70.31,182.88,Southpaw,1989-01-19,22,8,0,1,31
jordan rinaldi,All Day,177.8,65.77,182.88,Orthodox,1987-09-25,2,3,0,0,5
nik lentz,The Carny,172.72,65.77,172.72,Orthodox,1984-08-13,14,9,1,1,25
din thomas,Dinyero,175.26,70.31,,Orthodox,1976-09-28,5,4,0,0,9
christian wellisch,The Hungarian Nightmare,187.96,106.14,195.58,Orthodox,1975-09-13,2,3,0,0,5
erin blanchfield,Cold Blooded,162.56,56.7,167.64,Orthodox,1999-05-04,6,1,0,0,7
luis pena,Violent Bob Ross,190.5,70.31,190.5,Southpaw,1993-07-05,5,3,0,0,8
junyong park,The Iron Turtle,177.8,83.91,185.42,Orthodox,1991-02-27,8,3,0,0,11
allen crowder,Pretty Boy,190.5,111.13,193.04,Orthodox,1989-11-08,1,2,0,0,3
matt hughes,,175.26,77.11,185.42,Switch,1973-10-13,18,7,0,0,25
mike guymon,The Joker,182.88,77.11,187.96,Orthodox,1974-09-17,1,3,0,0,4
dan christison,The Sandman,203.2,120.2,,Orthodox,1972-04-26,1,1,0,0,2
darren elkins,The Damage,177.8,65.77,180.34,Orthodox,1984-05-16,19,10,0,0,29
alvaro herrera mendoza,Chango,182.88,70.31,187.96,Orthodox,1990-05-14,1,3,0,0,4
justin jaynes,The Guitar Hero,170.18,65.77,172.72,Orthodox,1989-08-10,1,4,0,0,5
steven koslow,Obi Won Shinobi The Pillow,170.18,56.7,175.26,Switch,1997-01-22,0,1,0,0,1
jordan leavitt,The Monkey King,175.26,70.31,180.34,Southpaw,1995-06-02,4,3,0,0,7
mike santiago,,177.8,65.77,175.26,Orthodox,1989-07-28,0,3,0,0,3
james mcsweeney,The Hammer,193.04,104.33,195.58,Switch,1980-10-24,1,2,0,0,3
dricus du plessis,Stillknocks,185.42,83.91,193.04,Switch,1994-01-14,8,0,0,0,8
gabriel gonzaga,Napao,187.96,109.77,193.04,Orthodox,1979-05-18,12,10,0,0,22
john maguire,The One,175.26,70.31,175.26,Southpaw,1983-05-19,2,3,0,0,5
anthony perosh,The Hippo,190.5,92.99,190.5,Orthodox,1972-10-05,5,7,0,0,12
dennis bermudez,The Menace,167.64,70.31,167.64,Orthodox,1986-12-13,10,7,0,0,17
cody brundage,,182.88,83.91,182.88,Orthodox,1994-05-16,4,5,0,1,10
rich clementi,No Love,175.26,70.31,182.88,Southpaw,1976-03-31,5,5,0,0,10
gabriel benitez,Moggly,172.72,70.31,180.34,Southpaw,1988-06-15,7,8,0,0,15
makwan amirkhani,Mr. Finland,177.8,65.77,182.88,Southpaw,1988-11-08,7,7,0,0,14
georges st-pierre,Rush,180.34,83.91,193.04,Orthodox,1981-05-19,20,2,0,0,22
goran reljic,,190.5,92.99,205.74,Southpaw,1984-03-20,1,3,0,0,4
pat healy,Bam Bam,182.88,70.31,182.88,Orthodox,1983-07-20,0,5,0,1,6
loopy godinez,,157.48,52.16,154.94,Orthodox,1993-09-06,7,5,0,0,12
youssef zalal,The Moroccan Devil,177.8,61.23,182.88,Switch,1996-09-04,6,3,1,0,10
john moraga,,167.64,56.7,167.64,Orthodox,1984-03-20,8,6,0,0,14
tom breese,,190.5,83.91,185.42,Southpaw,1991-09-26,5,3,0,0,8
nate landwehr,The Train,175.26,65.77,182.88,Orthodox,1988-06-06,5,4,0,0,9
frank shamrock,,177.8,83.91,,Orthodox,1972-12-08,5,0,0,0,5
gegard mousasi,,187.96,83.91,193.04,Orthodox,1985-08-01,9,3,0,0,12
semmy schilt,Hightower,208.28,120.2,,Orthodox,1973-10-27,1,1,0,0,2
joe ellenberger,Excalibur,175.26,70.31,182.88,Orthodox,1985-03-28,1,1,0,0,2
bea malecki,,175.26,61.23,187.96,Orthodox,1991-08-23,2,1,0,0,3
louis gaudinot,Goodnight,160.02,56.7,160.02,Orthodox,1984-08-28,1,3,0,1,5
ramsey nijem,,180.34,70.31,190.5,Orthodox,1988-04-01,5,5,0,0,10
claudio silva,Hannibal,180.34,77.11,180.34,Southpaw,1982-09-06,5,3,0,0,8
taila santos,,167.64,56.7,172.72,Orthodox,1993-06-22,4,2,0,0,6
matt schnell,Danger,172.72,56.7,177.8,Orthodox,1990-01-15,6,7,0,1,14
anthony pettis,Showtime,177.8,70.31,182.88,Orthodox,1987-01-27,11,9,0,0,20
darrill schoonover,The Boss,187.96,99.79,,Orthodox,1985-07-18,0,1,0,0,1
jeff hougland,Hellbound,170.18,61.23,172.72,Orthodox,1978-08-02,1,2,0,0,3
jeremy horn,Gumby,185.42,83.91,187.96,Orthodox,1975-08-25,6,7,0,0,13
thales leites,,185.42,83.91,198.12,Orthodox,1981-09-06,13,8,0,0,21
dean lister,The Boogeyman,185.42,83.91,190.5,Orthodox,1976-02-13,4,2,0,0,6
kurt holobaugh,,180.34,70.31,177.8,Orthodox,1986-09-08,2,5,0,0,7
chris wade,,177.8,70.31,177.8,Orthodox,1987-09-30,5,2,0,0,7
tatsuya kawajiri,Crusher,170.18,65.77,175.26,Orthodox,1978-05-08,3,3,0,0,6
trevor prangley,,185.42,83.91,190.5,Orthodox,1972-08-24,2,2,0,0,4
pat miletich,The Croatian Sensation,177.8,77.11,,Orthodox,1968-03-09,8,2,0,0,10
steve erceg,Astroboy,172.72,56.7,172.72,Orthodox,1995-07-27,3,2,0,0,5
evan dunham,,177.8,70.31,177.8,Southpaw,1981-12-18,11,9,1,0,21
josh stansbury,The Sandman,187.96,92.99,187.96,Orthodox,1984-11-19,1,2,0,0,3
ed herman,Short Fuse,185.42,92.99,195.58,Orthodox,1980-10-02,13,12,0,1,26
ali alqaisi,The Royal Fighter,167.64,61.23,172.72,Orthodox,1990-09-23,0,2,0,0,2
ray borg,The Tazmexican Devil,162.56,61.23,160.02,Orthodox,1993-08-04,7,5,0,0,12
jay silva,,187.96,83.91,,Southpaw,,0,2,0,0,2
tim elliott,,170.18,56.7,167.64,Southpaw,1986-12-24,9,10,0,0,19
carlos condit,The Natural Born Killer,187.96,77.11,190.5,Orthodox,1984-04-26,9,10,0,0,19
gunnar nelson,Gunni,180.34,77.11,182.88,Switch,1988-07-28,10,5,0,0,15
pingyuan liu,,167.64,61.23,182.88,Orthodox,1993-02-13,2,2,0,0,4
mohammad yahya,The UAE Warrior,175.26,70.31,185.42,Switch,1994-05-23,0,1,0,0,1
enrique marin,Wasabi,177.8,77.11,,,,0,2,0,0,2
allan zuniga,Tigre,170.18,70.31,177.8,Orthodox,1992-04-04,0,1,0,0,1
johnny walker,,198.12,92.99,208.28,Orthodox,1992-03-30,7,6,0,0,13
nick osipczak,,187.96,77.11,193.04,Orthodox,1984-12-30,2,3,0,0,5
jonavin webb,The Spyder,177.8,77.11,,Orthodox,1989-04-28,0,2,0,0,2
eddie yagin,The Filipino Phenom,170.18,65.77,,Orthodox,1979-03-23,1,1,0,0,2
karo parisyan,The Heat,177.8,77.11,182.88,Orthodox,1982-08-28,8,4,0,1,13
carlos mota,Tizil,162.56,56.7,175.26,Orthodox,1995-04-15,0,1,0,0,1
charles rosa,Boston Strong,175.26,65.77,175.26,Switch,1986-08-24,5,8,0,0,13
erik koch,Phoenix,177.8,77.11,180.34,Southpaw,1988-10-04,5,5,0,0,10
anthony rocco martin,,182.88,77.11,185.42,Orthodox,1989-12-11,9,6,0,0,15
gilbert urbina,The RGV Bad Boy,190.5,77.11,190.5,Orthodox,1996-04-05,1,2,0,0,3
dylan budka,The Mindless Hulk,182.88,83.91,190.5,Switch,2000-01-14,0,2,0,0,2
jason gonzalez,Nicoya,187.96,70.31,187.96,Southpaw,1990-02-28,1,3,0,0,4
ricco rodriguez,Suave,193.04,120.2,,Orthodox,1977-08-19,5,2,0,0,7
jay hieron,The Thoroughbred,182.88,77.11,190.5,Orthodox,1976-07-29,0,4,0,0,4
sung bin jo,Korean Falcon,182.88,65.77,182.88,Orthodox,1992-07-17,0,1,0,0,1
isabela de padua,Belinha,160.02,56.7,162.56,Orthodox,1991-09-04,0,1,0,0,1
hyder amil,The Hurricane,175.26,65.77,177.8,Switch,1990-05-28,2,0,0,0,2
vaughan lee,,167.64,56.7,167.64,Orthodox,1982-10-15,3,5,0,0,8
joao zeferino,The Brazilian Samurai,180.34,77.11,,Orthodox,1986-01-15,0,2,0,0,2
virna jandiroba,Carcara,160.02,52.16,162.56,Orthodox,1988-05-30,7,3,0,0,10
nick diaz,,185.42,77.11,193.04,Southpaw,1983-08-02,7,7,0,1,15
markus perez,Maluko,185.42,83.91,185.42,Orthodox,1988-06-22,2,5,0,0,7
greg soto,,180.34,77.11,185.42,Orthodox,1986-06-03,1,2,0,0,3
luke rockhold,,190.5,83.91,195.58,Southpaw,1984-10-17,6,5,0,0,11
brett johns,The Pikey,170.18,61.23,180.34,Orthodox,1992-02-21,5,2,0,0,7
rogerio bontorin,,165.1,56.7,170.18,Orthodox,1992-04-25,2,3,0,1,6
emil meek,Valhalla,180.34,77.11,187.96,Switch,1988-08-20,1,3,0,0,4
yoshihiro akiyama,,177.8,77.11,190.5,Orthodox,1975-07-29,2,5,0,0,7
islam makhachev,,177.8,70.31,177.8,Southpaw,1991-10-27,14,1,0,0,15
luis henrique,KLB,187.96,110.22,187.96,Orthodox,1993-08-21,2,4,0,0,6
ben nguyen,Ten,165.1,56.7,165.1,Switch,1988-08-03,4,3,0,0,7
james hammortree,The Sledge,190.5,83.91,,Orthodox,1983-11-29,0,1,0,0,1
michael chiesa,Maverick,185.42,77.11,190.5,Southpaw,1987-12-07,13,7,0,0,20
ivan menjivar,The Pride of El Salvador,167.64,65.77,162.56,Orthodox,1982-05-30,4,5,0,0,9
chris de la rocha,,190.5,113.4,203.2,Orthodox,1979-05-15,1,3,0,0,4
justin edwards,Fast Eddy,177.8,70.31,177.8,Orthodox,1983-01-26,2,5,0,0,7
deanna bennett,The Argentine Assassin,162.56,56.7,172.72,Orthodox,1984-11-18,0,0,1,0,1
connor matthews,The Controller,172.72,65.77,180.34,Switch,1992-05-31,0,1,0,0,1
gilbert yvel,The Hurricane,187.96,102.06,195.58,Orthodox,1976-06-30,0,3,0,0,3
vitor petrino,,187.96,92.99,195.58,Orthodox,1997-08-28,4,2,0,0,6
richie vaculik,Vas,167.64,56.7,175.26,Orthodox,1983-06-19,1,3,0,0,4
demian maia,,185.42,77.11,182.88,Southpaw,1977-11-06,22,11,0,0,33
denis stojnic,,182.88,111.13,,Orthodox,1980-02-02,0,2,0,0,2
mike rio,The Wolverine,177.8,70.31,177.8,Orthodox,1981-07-06,1,3,0,0,4
alex chambers,Astro Girl,160.02,52.16,160.02,Southpaw,1978-10-25,1,4,0,0,5
magnus cedenblad,Jycken,195.58,83.91,200.66,Orthodox,1982-04-10,4,2,0,0,6
jon tuck,Super Saiyan,180.34,70.31,185.42,Orthodox,1984-08-28,4,5,0,0,9
stephan bonnar,The American Psycho,193.04,92.99,200.66,Orthodox,1977-04-04,8,7,0,0,15
eric spicely,Zebrinha,185.42,83.91,185.42,Orthodox,1986-09-29,2,5,0,0,7
chase gormley,,190.5,120.2,,Orthodox,,0,2,0,0,2
paige vanzant,12 Gauge,162.56,52.16,165.1,Orthodox,1994-03-26,5,4,0,0,9
alexandre pantoja,The Cannibal,165.1,56.7,170.18,Orthodox,1990-04-16,13,3,0,0,16
krzysztof soszynski,The Polish Experiment,185.42,92.99,195.58,Open Stance,1977-08-02,6,3,0,0,9
leonardo guimaraes,Leleco,182.88,83.91,,Orthodox,1982-04-15,0,2,0,0,2
terrance mckinney,T. Wrecks,177.8,70.31,185.42,Switch,1994-09-15,5,4,0,0,9
rodney wallace,Shonuff the Master,175.26,92.99,182.88,Switch,1981-11-21,0,3,0,0,3
brad imes,Hillbilly Heartthrob,200.66,120.2,,Orthodox,1977-03-13,0,3,0,0,3
david heath,,180.34,92.99,182.88,Orthodox,1976-02-10,2,3,0,0,5
alexandr romanov,King Kong,187.96,118.84,190.5,Southpaw,1990-12-11,7,3,0,0,10
allan nascimento,Puro Osso,172.72,56.7,175.26,Orthodox,1991-09-11,2,1,0,0,3
eliot marshall,Fire,187.96,92.99,195.58,Orthodox,1980-07-07,3,3,0,0,6
warlley alves,,180.34,83.91,182.88,Orthodox,1991-01-04,8,7,0,0,15
aj fletcher,The Ghost,177.8,77.11,170.18,Switch,1997-02-18,1,3,0,0,4
tyson pedro,,190.5,92.99,200.66,Orthodox,1991-09-17,6,5,0,0,11
lerone murphy,The Miracle,175.26,65.77,185.42,Orthodox,1991-07-22,6,0,1,0,7
tagir ulanbekov,,170.18,56.7,177.8,Southpaw,1991-08-07,4,1,0,0,5
aisling daly,Ais the Bash,157.48,52.16,162.56,Orthodox,1987-12-24,2,1,0,0,3
jeongyeong lee,Korean Tiger,177.8,65.77,185.42,Orthodox,1995-11-13,2,1,0,0,3
ben askren,Funky,180.34,77.11,185.42,Orthodox,1984-07-18,1,2,0,0,3
beneil dariush,,177.8,70.31,182.88,Southpaw,1989-05-06,16,6,1,0,23
gillian robertson,The Savage,165.1,52.16,160.02,Orthodox,1995-05-17,12,6,0,0,18
pete williams,El Duro,190.5,106.59,,Orthodox,1975-07-10,3,5,0,0,8
rameau thierry sokoudjou,The African Assassin,177.8,92.99,198.12,Orthodox,1984-04-18,1,2,0,0,3
john hathaway,The Hitman,185.42,77.11,190.5,Orthodox,1987-07-23,7,2,0,0,9
cristiano marcello,,175.26,70.31,182.88,Orthodox,1977-12-03,1,3,0,0,4
antoni hardonk,,193.04,111.13,198.12,Orthodox,1976-02-05,4,4,0,0,8
matt serra,The Terra,167.64,77.11,172.72,Orthodox,1974-06-02,7,7,0,0,14
michael chandler,Iron,172.72,70.31,180.34,Orthodox,1986-04-24,2,4,0,0,6
eric wisely,Little Lee,172.72,65.77,,Southpaw,1984-07-25,0,2,0,0,2
pascal krauss,Panzer,185.42,77.11,,Orthodox,1987-04-19,2,2,0,0,4
alan belcher,The Talent,187.96,83.91,190.5,Orthodox,1984-04-24,9,6,0,0,15
tyson griffin,,167.64,65.77,172.72,Orthodox,1984-04-20,8,6,0,0,14
sam sicilia,,172.72,65.77,170.18,Orthodox,1986-02-01,5,7,0,0,12
damacio page,The Angel of Death,167.64,61.23,167.64,Orthodox,1982-09-30,0,3,0,0,3
samy schiavo,,172.72,70.31,,Orthodox,1975-12-24,0,2,0,0,2
brodie farber,,185.42,77.11,,Orthodox,1980-07-05,0,2,0,0,2
pete sell,Drago,180.34,77.11,190.5,Orthodox,1982-08-05,2,5,0,0,7
jason witt,The Vanilla Gorilla,177.8,77.11,177.8,Orthodox,1986-11-07,2,4,0,0,6
garett whiteley,Goodnight,182.88,70.31,182.88,Orthodox,1980-12-13,0,3,0,0,3
maciej jewtuszko,Irokez,182.88,70.31,,Southpaw,1981-01-31,0,1,0,0,1
cyril asker,Silverback,182.88,112.04,187.96,Orthodox,1985-12-24,2,3,0,0,5
jumabieke tuerxun,The Wild Wolf,170.18,61.23,,Orthodox,1986-04-17,0,3,0,0,3
