name,height_cm,weight_in_kg,reach_in_cm,stance,date_of_birth,wins,losses,draws,nc,total_matches
kay hansen,157.48,52.16,160.02,Orthodox,1999-08-14,1,3,0,0,4
jon fitch,182.88,77.11,187.96,Orthodox,1978-02-24,14,3,1,0,18
felice herrig,162.56,52.16,165.1,Orthodox,1984-09-18,5,5,0,0,10
joey gambino,170.18,65.77,,Orthodox,1988-10-26,0,2,0,0,2
kyung ho kang,175.26,61.23,185.42,Orthodox,1987-09-09,8,5,0,1,14
benson henderson,175.26,77.11,177.8,Southpaw,1983-11-16,11,3,0,0,14
chris weidman,187.96,83.91,198.12,Orthodox,1984-06-17,12,8,0,0,20
bryan caraway,172.72,61.23,172.72,Orthodox,1984-08-04,6,4,0,0,10
amanda ribas,160.02,52.16,167.64,Orthodox,1993-08-26,7,4,0,0,11
reginaldo vieira,170.18,61.23,165.1,Orthodox,1982-11-26,1,2,0,0,3
tamires vidal,167.64,61.23,172.72,Orthodox,1998-07-27,1,3,0,0,4
antonio carlos junior,187.96,83.91,200.66,Orthodox,1990-03-16,7,5,0,1,13
craig white,187.96,77.11,193.04,Orthodox,1990-07-01,0,2,0,0,2
urijah faber,167.64,61.23,170.18,Orthodox,1979-05-14,11,7,0,0,18
chad anheliger,167.64,61.23,162.56,Orthodox,1986-12-01,2,3,0,0,5
diego sanchez,177.8,77.11,182.88,Southpaw,1981-12-31,19,13,0,0,32
chris leben,180.34,83.91,185.42,Southpaw,1980-07-21,12,10,0,0,22
julianna pena,167.64,61.23,175.26,Orthodox,1989-08-19,8,3,0,0,11
katsunori kikuno,172.72,65.77,167.64,Orthodox,1981-10-31,2,3,0,0,5
wellington turman,182.88,77.11,182.88,Orthodox,1996-07-22,3,6,0,0,9
kyle noke,185.42,77.11,193.04,Southpaw,1980-03-18,6,6,0,0,12
kanako murata,154.94,52.16,157.48,Orthodox,1993-08-10,1,2,0,0,3
alistair overeem,193.04,120.2,203.2,Orthodox,1980-05-17,12,8,0,0,20
john teixeira,170.18,65.77,,Orthodox,1986-11-18,0,1,0,0,1
tony sims,180.34,70.31,177.8,Southpaw,1985-10-14,1,2,0,0,3
renato moicano,180.34,70.31,182.88,Orthodox,1989-05-21,12,5,0,0,17
khama worthy,180.34,70.31,187.96,Orthodox,1986-10-15,2,3,0,0,5
jack shore,172.72,61.23,180.34,Orthodox,1995-02-06,6,3,0,0,9
felipe arantes,172.72,61.23,185.42,Orthodox,1988-02-09,5,6,1,0,12
claudia gadelha,162.56,52.16,160.02,Orthodox,1988-12-07,7,5,0,0,12
joaquim silva,172.72,70.31,175.26,Southpaw,1989-02-05,6,5,0,0,11
george sullivan,182.88,77.11,185.42,Orthodox,1981-03-13,3,4,0,0,7
ramazan emeev,177.8,77.11,193.04,Southpaw,1987-05-23,5,3,0,0,8
yair rodriguez,180.34,65.77,180.34,Orthodox,1992-10-06,10,4,0,1,15
scott jorgensen,165.1,61.23,167.64,Orthodox,1982-09-17,4,8,0,0,12
casey o'neill,167.64,56.7,175.26,Orthodox,1997-10-07,5,2,0,0,7
ian freeman,180.34,102.06,,Orthodox,1966-11-10,3,2,1,0,6
diego saraiva,167.64,70.31,,Orthodox,1982-04-23,0,3,0,0,3
alexis davis,167.64,61.23,172.72,Orthodox,1984-10-04,8,6,0,0,14
brian camozzi,187.96,77.11,198.12,Orthodox,1991-06-24,0,3,0,0,3
lucie pudilova,172.72,61.23,170.18,Orthodox,1994-06-13,3,8,0,0,11
ricardo ramos,175.26,65.77,182.88,Orthodox,1995-08-01,8,5,0,0,13
matt mitrione,190.5,120.2,208.28,Switch,1978-07-15,9,5,0,0,14
joe duffy,177.8,70.31,185.42,Orthodox,1988-02-18,4,4,0,0,8
anderson dos santos,165.1,61.23,177.8,Orthodox,1985-07-24,1,3,0,0,4
milton vieira,182.88,65.77,,Orthodox,1978-10-04,0,1,1,0,2
david kaplan,170.18,70.31,,Orthodox,1979-11-16,0,2,0,0,2
amanda nunes,172.72,61.23,175.26,Orthodox,1988-05-30,16,2,0,0,18
robert sanchez,167.64,56.7,167.64,Orthodox,1986-03-05,1,2,0,0,3
rich franklin,185.42,83.91,193.04,Southpaw,1974-10-05,14,6,0,0,20
manvel gamburyan,165.1,61.23,170.18,Orthodox,1981-05-08,6,8,0,1,15
don madge,182.88,70.31,182.88,Southpaw,1990-11-12,2,0,0,0,2
brad scott,185.42,77.11,193.04,Orthodox,1989-06-24,3,5,0,0,8
mandy bohm,170.18,56.7,180.34,Orthodox,1989-07-30,1,2,0,0,3
michelle waterson-gomez,160.02,52.16,157.48,Orthodox,1986-01-06,0,4,0,0,4
rafael estevam,172.72,56.7,175.26,Orthodox,1996-08-10,1,0,0,0,1
matt sayles,170.18,70.31,172.72,Orthodox,1994-02-21,1,3,0,0,4
mauricio rua,185.42,92.99,193.04,Orthodox,1981-11-25,11,12,1,0,24
steven peterson,177.8,65.77,177.8,Orthodox,1990-05-29,3,5,0,0,8
amir albazi,165.1,56.7,172.72,Orthodox,1993-10-27,5,1,0,0,6
niklas stolze,185.42,70.31,187.96,Switch,1992-12-28,0,3,0,0,3
darren uyenoyama,167.64,56.7,165.1,Orthodox,1979-10-15,2,2,0,0,4
drew mcfedries,182.88,83.91,182.88,Southpaw,1978-07-27,4,5,0,0,9
niko price,182.88,77.11,193.04,Orthodox,1989-09-29,8,8,0,2,18
marcio alexandre junior,182.88,83.91,190.5,Southpaw,1989-05-05,0,3,0,0,3
alex caceres,177.8,65.77,185.42,Southpaw,1988-06-20,16,12,0,1,29
trevor smith,190.5,83.91,190.5,Orthodox,1981-01-05,5,7,0,0,12
daniel sarafian,175.26,83.91,185.42,Orthodox,1982-08-21,2,4,0,0,6
heath herring,193.04,113.4,198.12,Orthodox,1978-03-02,2,3,0,0,5
viviane araujo,162.56,56.7,172.72,Orthodox,1986-11-21,7,5,0,0,12
dustin stoltzfus,182.88,83.91,190.5,Orthodox,1991-11-15,3,5,0,0,8
francis marshall,175.26,65.77,182.88,Orthodox,1999-03-03,2,2,0,0,4
phillipe nover,175.26,65.77,182.88,Orthodox,1984-02-03,1,6,0,0,7
chris heatherly,175.26,70.31,,Orthodox,1987-11-24,0,2,0,0,2
rodrigo nascimento,187.96,111.58,203.2,Orthodox,1992-11-26,5,3,0,0,8
brandon thatch,187.96,77.11,187.96,Switch,1985-07-11,2,4,0,0,6
william gomis,182.88,65.77,185.42,Southpaw,1997-06-13,4,0,0,0,4
mike russow,185.42,115.67,185.42,Orthodox,1976-09-11,4,2,0,0,6
buddy roberts,187.96,83.91,,Orthodox,1982-10-17,1,1,0,0,2
drako rodriguez,172.72,61.23,175.26,Orthodox,1996-06-16,0,2,0,0,2
vinicius queiroz,200.66,99.79,,Orthodox,1983-08-29,0,1,0,0,1
tereza bleda,175.26,56.7,180.34,Orthodox,2001-11-30,1,1,0,0,2
forrest griffin,190.5,92.99,195.58,Orthodox,1979-03-16,10,5,0,0,15
don frye,185.42,99.34,,Orthodox,1965-11-23,9,1,0,0,10
junior assuncao,175.26,65.77,182.88,Orthodox,1981-06-24,2,3,0,0,5
reuben duran,170.18,61.23,180.34,Orthodox,1983-07-02,1,3,0,0,4
gray maynard,175.26,70.31,177.8,Orthodox,1979-05-09,11,7,1,1,20
james vick,190.5,70.31,193.04,Orthodox,1987-02-23,9,5,0,0,14
brian kelleher,167.64,61.23,167.64,Switch,1986-08-19,8,9,0,0,17
diego ferreira,175.26,70.31,187.96,Orthodox,1985-01-18,10,5,0,0,15
alex stiebling,187.96,92.99,,Southpaw,,0,1,0,0,1
scott askham,190.5,83.91,190.5,Southpaw,1988-05-20,2,4,0,0,6
kalindra faria,170.18,56.7,,Switch,1986-07-23,0,3,0,0,3
keith jardine,187.96,83.91,193.04,Orthodox,1975-10-31,6,7,0,0,13
david michaud,175.26,70.31,,Orthodox,1988-11-10,1,2,0,0,3
luana carolina,167.64,56.7,175.26,Orthodox,1993-06-11,6,3,0,0,9
travis lutter,180.34,83.91,190.5,Orthodox,1973-05-12,2,4,0,0,6
anthony smith,193.04,92.99,193.04,Orthodox,1988-07-26,12,11,0,0,23
john polakowski,177.8,70.31,,Orthodox,1981-06-21,0,1,0,0,1
vicente luque,180.34,77.11,190.5,Orthodox,1991-11-27,16,6,0,0,22
david baron,167.64,70.31,,Switch,1973-02-15,0,1,0,0,1
ricardo abreu,180.34,83.91,,Orthodox,1984-04-27,1,1,0,0,2
damarques johnson,185.42,77.11,190.5,Orthodox,1982-06-28,4,6,0,0,10
darrell horcher,177.8,70.31,177.8,Southpaw,1987-07-28,1,3,0,0,4
kyle nelson,180.34,65.77,180.34,Switch,1991-04-20,4,5,1,0,10
damien brown,177.8,70.31,172.72,Orthodox,1984-12-25,2,4,0,0,6
tim kennedy,180.34,83.91,187.96,Orthodox,1979-09-01,3,2,0,0,5
gustavo lopez,165.1,61.23,170.18,Orthodox,1989-06-27,1,2,1,0,4
yves edwards,175.26,70.31,185.42,Southpaw,1976-09-30,10,10,0,1,21
maryna moroz,170.18,56.7,170.18,Orthodox,1991-09-08,6,6,0,0,12
thiago silva,187.96,92.99,187.96,Orthodox,1982-11-12,7,3,0,2,12
brad blackburn,177.8,77.11,185.42,Orthodox,1977-05-25,3,2,0,0,5
yancy medeiros,177.8,70.31,190.5,Orthodox,1987-09-07,6,8,0,1,15
ian heinisch,180.34,83.91,182.88,Orthodox,1988-08-05,3,4,0,0,7
steve cantwell,187.96,83.91,190.5,Orthodox,1986-12-08,1,5,0,0,6
vanessa demopoulos,157.48,52.16,149.86,Orthodox,1988-09-22,5,3,0,0,8
jeff monson,175.26,112.04,187.96,Orthodox,1971-01-18,4,3,0,0,7
guto inocente,190.5,92.99,,Orthodox,1986-05-29,0,2,0,0,2
leo kuntz,177.8,70.31,,Orthodox,1983-10-03,0,2,0,0,2
devin powell,182.88,70.31,185.42,Orthodox,1988-03-01,1,3,0,0,4
marcus levesseur,175.26,70.31,177.8,Southpaw,1982-07-17,1,2,0,0,3
vitor belfort,182.88,83.91,187.96,Southpaw,1977-04-01,15,10,0,1,26
tito ortiz,190.5,92.99,187.96,Orthodox,1975-01-23,15,11,1,0,27
francisco rivera,172.72,61.23,177.8,Orthodox,1981-10-08,4,6,0,1,11
jarred brooks,160.02,56.7,157.48,Switch,1993-05-02,2,2,0,0,4
diego nunes,167.64,65.77,170.18,Orthodox,1982-11-30,3,3,0,0,6
joseph benavidez,162.56,56.7,165.1,Southpaw,1984-07-31,15,6,0,0,21
bryan battle,185.42,77.11,195.58,Orthodox,1994-09-21,7,1,0,1,9
mike lullo,172.72,65.77,,Orthodox,1979-07-24,0,2,0,0,2
doug evans,175.26,70.31,,Orthodox,1980-10-10,0,2,0,0,2
chris tuchscherer,187.96,117.03,193.04,Orthodox,1975-09-08,1,3,0,0,4
jessica penne,165.1,52.16,170.18,Orthodox,1983-01-30,3,6,0,0,9
geane herrera,165.1,56.7,167.64,Orthodox,1990-05-27,1,3,0,0,4
nick aguirre,175.26,61.23,187.96,Southpaw,1996-01-15,0,2,0,0,2
julia polastri,157.48,52.16,160.02,Orthodox,1998-03-05,1,1,0,0,2
joe riggs,182.88,83.91,177.8,Southpaw,1982-09-23,5,7,0,0,12
jonathan goulet,182.88,77.11,185.42,Orthodox,1979-07-13,4,5,0,0,9
ebenezer fontes braga,182.88,90.26,,Orthodox,1969-04-14,1,0,0,0,1
luigi vendramini,172.72,70.31,185.42,Orthodox,1996-01-16,1,3,0,0,4
jeka saragih,172.72,65.77,175.26,Orthodox,1995-01-01,1,2,0,0,3
clay guida,170.18,70.31,177.8,Orthodox,1981-12-08,18,19,0,0,37
chepe mariscal,170.18,65.77,175.26,Orthodox,1992-10-27,4,0,0,0,4
phil davis,187.96,92.99,200.66,Orthodox,1984-09-25,9,3,0,1,13
kalib starnes,190.5,83.91,187.96,Orthodox,1975-01-06,2,3,0,0,5
kazuhiro nakamura,180.34,92.99,177.8,Orthodox,1979-07-16,0,2,0,0,2
phillip miller,180.34,83.91,,Orthodox,1979-02-20,2,0,0,0,2
edgar garcia,177.8,77.11,180.34,Orthodox,1984-02-22,0,4,0,0,4
kuniyoshi hironaka,177.8,76.2,177.8,Orthodox,1976-06-17,1,3,0,0,4
raquel pennington,170.18,61.23,170.18,Orthodox,1988-09-05,13,6,0,0,19
kyler phillips,172.72,61.23,182.88,Orthodox,1995-06-12,6,2,0,0,8
chan sung jung,170.18,65.77,182.88,Orthodox,1987-03-17,7,4,0,0,11
igor araujo,185.42,77.11,195.58,Orthodox,1980-12-06,2,2,0,0,4
shanna young,170.18,56.7,165.1,Orthodox,1991-02-20,1,3,0,0,4
kailin curran,162.56,52.16,165.1,Orthodox,1991-04-11,1,6,0,0,7
mark munoz,182.88,83.91,180.34,Orthodox,1978-02-09,9,6,0,0,15
derek brunson,185.42,83.91,195.58,Southpaw,1984-01-04,14,7,0,0,21
michel prazeres,167.64,77.11,170.18,Orthodox,1981-07-25,10,4,0,0,14
tj grant,177.8,70.31,182.88,Orthodox,1984-02-26,8,3,0,0,11
ashley yoder,170.18,52.16,175.26,Southpaw,1987-10-20,3,8,0,0,11
jake collier,190.5,104.33,198.12,Orthodox,1988-10-25,5,9,0,0,14
aspen ladd,167.64,61.23,167.64,Orthodox,1995-03-01,4,3,0,0,7
payton talbott,177.8,61.23,177.8,Switch,1998-09-09,3,0,0,0,3
john lineker,160.02,61.23,170.18,Orthodox,1990-06-12,12,4,0,0,16
philip de fries,195.58,113.4,200.66,Orthodox,1986-04-21,2,3,0,0,5
davi ramos,167.64,70.31,177.8,Orthodox,1986-11-05,4,3,0,0,7
edmen shahbazyan,187.96,83.91,190.5,Orthodox,1997-11-20,6,5,0,0,11
victor henry,170.18,61.23,172.72,Switch,1987-05-04,3,2,0,0,5
fernie garcia,170.18,61.23,170.18,Orthodox,1992-04-12,0,3,0,0,3
brendan o'reilly,170.18,77.11,175.26,Orthodox,1987-06-24,1,3,0,0,4
dong hyun kim,187.96,77.11,193.04,Southpaw,1981-11-17,13,4,0,1,18
edwin figueroa,170.18,61.23,175.26,Orthodox,1984-07-31,2,4,0,0,6
damian stasiak,165.1,61.23,177.8,Orthodox,1990-02-20,2,4,0,0,6
julian erosa,185.42,65.77,187.96,Southpaw,1989-07-31,8,7,0,0,15
stevie ray,177.8,70.31,177.8,Southpaw,1990-03-25,7,4,0,0,11
wanderlei silva,180.34,92.99,187.96,Orthodox,1976-07-03,5,7,0,0,12
rose namajunas,165.1,56.7,165.1,Orthodox,1992-06-29,11,6,0,0,17
mike swick,185.42,77.11,195.58,Orthodox,1979-06-19,10,5,0,0,15
dhiego lima,187.96,77.11,190.5,Orthodox,1989-01-31,4,7,0,0,11
jake matthews,180.34,77.11,185.42,Orthodox,1994-08-19,13,7,0,0,20
andrea lee,167.64,56.7,175.26,Orthodox,1989-02-11,5,8,0,0,13
jose quinonez,172.72,61.23,175.26,Southpaw,1990-07-28,5,4,0,0,9
diego brandao,170.18,65.77,162.56,Orthodox,1987-05-27,6,4,0,0,10
ketlen vieira,172.72,61.23,172.72,Orthodox,1991-08-26,8,4,0,0,12
ivan jorge,175.26,70.31,185.42,Orthodox,1980-11-07,2,2,0,0,4
lavar johnson,193.04,108.86,208.28,Orthodox,1977-06-11,2,2,0,0,4
ken stone,172.72,61.23,180.34,Southpaw,1982-10-08,2,2,0,0,4
francis carmont,190.5,92.99,198.12,Orthodox,1981-10-11,6,3,0,0,9
lukasz brzeski,193.04,107.05,198.12,Orthodox,1992-05-17,1,4,0,0,5
hatsu hioki,180.34,65.77,185.42,Orthodox,1983-07-18,3,5,0,0,8
zak cummings,182.88,92.99,190.5,Southpaw,1984-08-02,10,4,0,0,14
albert duraev,180.34,83.91,190.5,Orthodox,1989-01-05,2,2,0,0,4
melquizael costa,177.8,70.31,180.34,Southpaw,1996-09-14,2,2,0,0,4
kevin jordan,190.5,111.13,,Orthodox,1970-12-31,0,2,0,0,2
fabio maldonado,185.42,92.99,190.5,Orthodox,1980-03-17,5,6,0,0,11
sumudaerji,172.72,56.7,182.88,Southpaw,1996-01-20,3,4,0,0,7
henry briones,172.72,61.23,175.26,Orthodox,1980-10-22,1,4,0,0,5
rafael dos anjos,172.72,77.11,177.8,Southpaw,1984-10-26,21,14,0,0,35
alex oliveira,180.34,77.11,193.04,Orthodox,1988-02-21,11,10,0,1,22
wilson reis,162.56,56.7,165.1,Southpaw,1985-01-06,7,6,0,0,13
alexa grasso,165.1,56.7,167.64,Orthodox,1993-08-09,8,4,1,0,13
jose johnson,182.88,61.23,180.34,Orthodox,1995-05-20,1,2,0,0,3
michel pereira,185.42,83.91,185.42,Orthodox,1993-10-06,9,3,0,0,12
aaron phillips,175.26,61.23,180.34,Southpaw,1989-08-05,0,4,0,0,4
luan lacerda,170.18,61.23,180.34,Orthodox,1993-01-07,0,2,0,0,2
mac danzig,172.72,70.31,177.8,Orthodox,1980-01-02,5,8,0,0,13
jussier formiga,165.1,56.7,170.18,Orthodox,1985-04-14,9,7,0,0,16
mike brown,167.64,65.77,177.8,Orthodox,1975-09-08,2,4,0,0,6
lisa ellis,162.56,52.16,,,,0,2,0,0,2
anthony johnson,187.96,92.99,198.12,Orthodox,1984-03-06,13,6,0,0,19
sage northcutt,182.88,77.11,180.34,Orthodox,1996-03-01,6,2,0,0,8
martin day,177.8,65.77,185.42,Orthodox,1988-11-10,0,4,0,0,4
mana martinez,177.8,61.23,177.8,Orthodox,1996-03-25,2,2,0,0,4
taylor lapilus,167.64,61.23,185.42,Southpaw,1992-04-08,6,2,0,0,8
eddie alvarez,175.26,70.31,175.26,Orthodox,1984-01-11,4,3,0,1,8
tom deblass,182.88,83.91,,Orthodox,1982-05-14,0,2,0,0,2
pearl gonzalez,162.56,52.16,,Orthodox,1986-08-12,0,2,0,0,2
mike rhodes,185.42,77.11,187.96,Orthodox,1989-12-04,0,3,0,0,3
randy couture,185.42,92.99,190.5,Orthodox,1963-06-22,16,8,0,0,24
gilbert burns,177.8,77.11,180.34,Orthodox,1986-07-20,15,8,0,0,23
parker porter,182.88,120.2,190.5,Orthodox,1985-04-22,4,3,0,0,7
randy brown,190.5,77.11,198.12,Orthodox,1990-07-08,13,6,0,0,19
alex white,182.88,70.31,180.34,Southpaw,1988-10-22,4,6,0,0,10
tainara lisboa,170.18,61.23,170.18,Orthodox,1991-03-02,2,0,0,0,2
anthony birchak,172.72,61.23,175.26,Orthodox,1986-05-16,2,4,0,0,6
oli thompson,185.42,109.77,,Orthodox,1980-01-02,0,2,0,0,2
gregory rodrigues,190.5,83.91,190.5,Orthodox,1992-02-17,7,2,0,0,9
olivier aubin-mercier,175.26,70.31,177.8,Southpaw,1989-02-23,7,5,0,0,12
rodolfo bellato,190.5,92.99,195.58,Orthodox,1996-02-05,1,0,0,0,1
marcel fortuna,185.42,92.99,187.96,Orthodox,1985-10-22,1,2,0,0,3
scott smith,182.88,83.91,177.8,Orthodox,1979-05-21,1,3,0,0,4
motonobu tezuka,170.18,61.23,,Southpaw,1987-08-29,0,2,0,0,2
felipe colares,172.72,65.77,175.26,Orthodox,1994-03-31,2,4,0,0,6
pedro munhoz,167.64,61.23,165.1,Orthodox,1986-09-07,10,10,0,2,22
esteban ribovics,177.8,70.31,175.26,Orthodox,1996-04-27,3,1,0,0,4
phil baroni,175.26,77.11,182.88,Orthodox,1976-04-16,3,7,0,0,10
justin scoggins,170.18,56.7,167.64,Southpaw,1992-05-02,4,5,0,0,9
cory mckenna,160.02,52.16,147.32,Orthodox,1999-07-11,3,3,0,0,6
clay collard,180.34,65.77,185.42,Orthodox,1993-03-10,1,3,0,0,4
jorge gurgel,170.18,70.31,175.26,Orthodox,1977-01-25,3,4,0,0,7
marcos rogerio de lima,185.42,114.76,190.5,Orthodox,1985-06-25,11,7,0,0,18
molly mccann,162.56,56.7,157.48,Orthodox,1990-05-04,7,6,0,0,13
bj penn,175.26,70.31,177.8,Orthodox,1978-12-13,12,13,2,0,27
danny downes,182.88,70.31,182.88,Orthodox,1986-04-08,0,2,0,0,2
paul taylor,182.88,70.31,182.88,Orthodox,1979-12-15,4,5,0,0,9
gadzhi omargadzhiev,185.42,77.11,180.34,Switch,1993-02-24,0,2,0,0,2
brandon moreno,170.18,56.7,177.8,Orthodox,1993-12-07,10,5,2,0,17
vince cachero,167.64,65.77,172.72,Orthodox,1989-11-07,0,2,0,0,2
dongi yang,177.8,83.91,185.42,Southpaw,1984-12-07,2,3,0,0,5
megan anderson,182.88,65.77,182.88,Orthodox,1990-02-11,3,3,0,0,6
jacob malkoun,175.26,83.91,185.42,Orthodox,1995-08-26,4,3,0,0,7
hacran dias,172.72,70.31,175.26,Orthodox,1984-06-16,3,5,0,0,8
jarno errens,180.34,65.77,185.42,Orthodox,1994-11-17,1,2,0,0,3
brock lesnar,190.5,120.2,205.74,Orthodox,1977-07-12,4,3,0,1,8
michael trizano,180.34,65.77,180.34,Orthodox,1991-12-31,4,3,0,0,7
emily whitmire,165.1,56.7,160.02,Orthodox,1991-05-24,2,4,0,0,6
antonio braga neto,190.5,83.91,195.58,Orthodox,1987-10-29,1,2,0,0,3
zarrukh adashev,165.1,56.7,165.1,Southpaw,1992-07-29,1,3,0,0,4
sammy morgan,177.8,77.11,,Orthodox,1981-09-28,0,2,0,0,2
bernardo magalhaes,175.26,70.31,,Orthodox,1981-04-08,0,2,0,0,2
caol uno,170.18,70.31,177.8,Southpaw,1975-05-08,3,5,2,0,10
matthew riddle,185.42,77.11,193.04,Southpaw,1986-01-14,7,3,0,2,12
charles jourdain,175.26,65.77,175.26,Switch,1995-11-27,7,7,1,0,15
leonard garcia,177.8,65.77,172.72,Orthodox,1979-07-14,2,7,0,0,9
gabriel silva,167.64,61.23,180.34,Orthodox,1994-08-26,0,2,0,0,2
kevin croom,180.34,61.23,185.42,Orthodox,1987-07-15,0,3,0,1,4
matt grice,172.72,65.77,177.8,Orthodox,1981-07-29,2,5,0,0,7
caio borralho,177.8,83.91,190.5,Southpaw,1993-01-16,7,0,0,0,7
karl roberson,185.42,92.99,187.96,Southpaw,1990-10-04,4,6,0,0,10
spike carlyle,172.72,65.77,180.34,Switch,1993-05-06,1,2,0,0,3
tom niinimaki,175.26,65.77,175.26,Orthodox,1982-07-25,1,3,0,0,4
nick pace,170.18,61.23,172.72,Orthodox,1987-04-17,1,2,0,0,3
john salter,185.42,83.91,187.96,Southpaw,1985-03-21,1,2,0,0,3
chris camozzi,187.96,83.91,190.5,Orthodox,1986-11-20,9,10,0,0,19
bart palaszewski,175.26,65.77,177.8,Orthodox,1983-05-30,1,3,0,0,4
sean woodson,187.96,65.77,198.12,Orthodox,1992-06-07,7,1,1,0,9
ciryl gane,193.04,111.13,205.74,Orthodox,1990-04-12,10,2,0,0,12
miranda maverick,160.02,56.7,165.1,Southpaw,1997-07-01,8,3,0,0,11
lucas martins,182.88,65.77,182.88,Southpaw,1988-11-11,4,3,0,0,7
renan barao,167.64,65.77,177.8,Orthodox,1987-01-31,9,8,0,0,17
hernani perpetuo,182.88,77.11,,Orthodox,1985-05-24,0,2,0,0,2
james zikic,187.96,92.99,,Orthodox,1977-03-01,0,1,0,0,1
yuki kondo,180.34,83.01,,Southpaw,1975-07-17,1,2,0,0,3
jacob kilburn,175.26,65.77,182.88,Orthodox,1995-06-28,0,2,0,0,2
talita bernardo,162.56,61.23,172.72,Orthodox,1987-03-04,1,3,0,0,4
nick catone,182.88,83.91,182.88,Southpaw,1981-09-01,4,4,0,0,8
julio paulino,182.88,77.11,,Orthodox,1975-12-04,0,2,0,0,2
roger huerta,175.26,70.31,177.8,Orthodox,1983-05-20,6,2,0,0,8
yushin okami,187.96,77.11,190.5,Southpaw,1981-07-21,14,7,0,0,21
natan levy,175.26,70.31,180.34,Southpaw,1991-09-30,2,2,0,0,4
humberto bandenay,180.34,65.77,180.34,Southpaw,1994-09-04,1,3,0,0,4
peter sobotta,182.88,77.11,190.5,Southpaw,1987-01-11,4,6,0,0,10
louis cosce,175.26,77.11,180.34,Orthodox,1995-08-27,0,2,0,0,2
marcelo golm,190.5,112.94,190.5,Orthodox,1992-09-15,1,3,0,0,4
francisco trinaldo,175.26,77.11,177.8,Southpaw,1978-08-24,18,8,0,0,26
tae hyun bang,175.26,70.31,180.34,Switch,1983-04-15,2,3,0,0,5
hector lombard,175.26,83.91,180.34,Southpaw,1978-02-02,3,8,0,1,12
charlie valencia,160.02,61.23,162.56,Orthodox,1974-10-31,0,1,0,0,1
demetrious johnson,160.02,56.7,167.64,Orthodox,1986-08-13,15,2,1,0,18
jon jones,193.04,112.49,213.36,Orthodox,1987-07-19,22,1,0,1,24
fernando bruno,167.64,65.77,,,,0,2,0,0,2
marvin vettori,182.88,83.91,187.96,Southpaw,1993-09-20,9,5,1,0,15
aaron simpson,182.88,77.11,185.42,Orthodox,1974-07-20,7,4,0,0,11
alex nicholson,193.04,83.91,195.58,Orthodox,1990-05-02,1,3,0,0,4
ovince saint preux,190.5,92.99,203.2,Southpaw,1983-04-08,15,13,0,0,28
jessica eye,167.64,56.7,167.64,Orthodox,1986-07-27,5,10,0,1,16
sean o'connell,185.42,92.99,187.96,Orthodox,1983-09-02,2,5,0,0,7
nina nunes,165.1,56.7,162.56,Orthodox,1985-12-03,5,4,0,0,9
bojan velickovic,182.88,77.11,193.04,Southpaw,1988-12-18,2,3,1,0,6
jesse ronson,177.8,70.31,177.8,Southpaw,1985-12-24,0,5,0,1,6
james irvin,187.96,92.99,190.5,Orthodox,1978-09-12,4,6,0,0,10
ronys torres,170.18,70.31,,Orthodox,1975-08-13,0,2,0,0,2
justin jones,180.34,83.91,,Orthodox,1987-09-06,0,2,0,0,2
wallid ismail,170.18,92.99,,Orthodox,1968-02-23,0,1,0,0,1
danyelle wolf,180.34,65.77,177.8,Orthodox,1983-09-08,0,1,0,0,1
mick parkin,193.04,120.2,200.66,Orthodox,1995-10-02,4,0,0,0,4
kron gracie,175.26,65.77,177.8,Southpaw,1988-07-11,1,3,0,0,4
reza madadi,180.34,70.31,185.42,Orthodox,1978-06-20,3,4,0,0,7
tony fryklund,182.88,83.91,,Orthodox,1971-03-26,2,2,0,0,4
kevin holland,190.5,77.11,205.74,Orthodox,1992-11-05,13,9,0,1,23
nathaniel wood,167.64,65.77,175.26,Orthodox,1993-05-08,8,2,0,0,10
gloria de paula,165.1,52.16,170.18,Orthodox,1995-06-10,1,3,0,0,4
dan cramer,187.96,77.11,,Orthodox,1985-10-31,1,1,0,0,2
akihiro gono,170.18,77.11,172.72,Switch,1974-10-07,1,2,0,0,3
rafael natal,182.88,83.91,195.58,Orthodox,1982-12-25,9,7,1,0,17
cezar ferreira,185.42,83.91,198.12,Southpaw,1985-02-15,9,6,0,0,15
marcos vinicius,175.26,56.7,,Orthodox,1979-12-05,1,2,0,0,3
patrick williams,172.72,61.23,185.42,Orthodox,1981-09-07,1,3,0,0,4
yohan lainesse,185.42,77.11,193.04,Orthodox,1992-08-14,1,3,0,0,4
rin nakai,154.94,61.23,,Orthodox,1986-10-22,0,2,0,0,2
serghei spivac,190.5,117.93,198.12,Orthodox,1995-01-24,8,4,0,0,12
cortney casey,170.18,56.7,170.18,Orthodox,1987-05-05,6,9,0,0,15
sara mcmann,167.64,61.23,167.64,Orthodox,1980-09-24,7,6,0,0,13
hector ramirez,182.88,92.99,,Orthodox,1976-03-28,0,2,0,0,2
ronny markes,185.42,83.91,190.5,Orthodox,1988-04-21,3,2,0,0,5
jeff joslin,182.88,77.11,,Orthodox,1975-04-30,0,1,0,0,1
stefan sekulic,182.88,77.11,190.5,Southpaw,1992-02-12,0,2,0,0,2
sedriques dumas,187.96,83.91,200.66,Orthodox,1995-08-06,2,2,0,0,4
josh culibao,177.8,65.77,185.42,Orthodox,1994-05-24,3,4,1,0,8
