name,height_cm,weight_in_kg,reach_in_cm,stance,date_of_birth,wins,losses,draws,nc,total_matches
nyamjargal tumendemberel,170.18,56.7,180.34,Orthodox,1998-03-22,0,1,0,0,1
jaqueline amorim,160.02,52.16,172.72,Orthodox,1995-06-24,3,1,0,0,4
hyunsung park,170.18,56.7,167.64,Orthodox,1995-11-04,2,0,0,0,2
per eklund,177.8,70.31,182.88,Orthodox,,1,2,0,0,3
rolando delgado,190.5,70.31,195.58,Orthodox,1981-11-22,1,2,0,0,3
mike king,190.5,83.91,,,,0,1,0,0,1
kit cope,182.88,77.11,,Orthodox,1977-03-17,0,1,0,0,1
chris sanford,180.34,83.91,,Orthodox,1968-03-12,0,1,0,0,1
junie browning,175.26,70.31,,Orthodox,1984-05-12,1,1,0,0,2
preston parsons,180.34,77.11,180.34,Orthodox,1995-07-15,2,3,0,0,5
zhang tiequan,172.72,70.31,175.26,Orthodox,1978-07-25,1,3,0,0,4
shannon gugerty,177.8,70.31,180.34,Orthodox,1981-12-30,2,3,0,0,5
allen berube,172.72,70.31,,Orthodox,1974-08-25,0,1,0,0,1
tim credeur,190.5,83.91,190.5,Orthodox,1977-07-09,3,2,0,0,5
herbert burns,175.26,65.77,185.42,Orthodox,1988-02-02,2,4,0,0,6
edwin dewees,185.42,83.91,,Orthodox,1982-08-07,0,3,0,0,3
ricardo romero,182.88,92.99,193.04,Orthodox,1978-04-15,1,2,0,0,3
rob broughton,187.96,120.2,187.96,Orthodox,1983-03-03,1,2,0,0,3
dmitry sosnovskiy,190.5,108.86,195.58,Orthodox,1989-07-06,1,0,0,0,1
jesse taylor,182.88,77.11,185.42,Orthodox,1983-01-02,1,1,0,0,2
alexandre dantas,187.96,107.95,,Orthodox,1979-03-01,0,2,0,0,2
kevin jousset,187.96,77.11,190.5,Orthodox,1993-05-02,2,1,0,0,3
manny bermudez,177.8,65.77,180.34,Orthodox,1994-07-16,3,2,0,0,5
maiquel falcao,180.34,83.91,,Orthodox,1981-03-08,1,0,0,0,1
danny mitchell,187.96,77.11,,Orthodox,1986-08-08,0,2,0,0,2
fabiano iha,172.72,70.31,,Orthodox,1970-07-28,3,4,0,0,7
anthony hernandez,182.88,83.91,190.5,Orthodox,1993-10-18,7,2,0,0,9
marcus jones,198.12,120.2,,Orthodox,1973-08-15,0,1,0,0,1
tatsuro taira,170.18,56.7,177.8,Orthodox,2000-01-27,6,1,0,0,7
jason high,172.72,70.31,185.42,Southpaw,1981-10-12,2,3,0,0,5
mike nickels,193.04,92.99,,Orthodox,1971-12-13,1,1,0,0,2
sam patterson,190.5,70.31,198.12,Orthodox,1996-04-30,2,1,0,0,3
rei tsuruya,167.64,56.7,172.72,Orthodox,2002-06-22,1,0,0,0,1
yoshiyuki yoshida,180.34,77.11,177.8,Southpaw,1974-05-10,2,3,0,0,5
