name,nickname,height_cm,weight_in_kg,reach_in_cm,stance,date_of_birth
Shinya Aoki,Tobikan Judan,180.34,69.85,,Southpaw,1983-05-09
Marcus Hicks,The Wrecking Ball,167.64,70.31,162.56,Southpaw,1975-11-25
Dan Evensen,The Viking,190.5,113.4,,Orthodox,1974-06-01
Ralph Gracie,,175.26,83.01,,Orthodox,
Charlie Kohler,,175.26,70.31,,Orthodox,1976-07-16
Alberto Crane,,165.1,70.31,,Orthodox,1976-07-14
Mike Hayes,,193.04,104.33,,Orthodox,
Bruno Carvalho,,172.72,69.85,,,
Steve Byrnes,The Sergeant,182.88,77.11,,Orthodox,
Aliaskhab Khizriev,Black Wolf,175.26,83.91,187.96,Southpaw,1990-08-24
Torrez Finney,The Punisher,172.72,83.91,190.5,Orthodox,1998-10-24
Bill Mahood,The Butcher,190.5,90.72,,Orthodox,1967-02-01
Marius Enache,,180.34,70.31,,,
Abongo Humphrey,,180.34,92.99,,Orthodox,
Antonio Trocoli,Malvado,195.58,92.99,208.28,Orthodox,1990-12-06
Hector Urbina,El Toro,180.34,77.11,185.42,Orthodox,1987-09-17
Gabriel Bonfim,Marretinha,185.42,77.11,182.88,Orthodox,1997-08-20
James Wilks,Lightning,185.42,77.11,190.5,Orthodox,1978-05-04
Assu Almabayev,Zulfikar,162.56,56.7,165.1,Orthodox,1994-01-25
Nyamjargal Tumendemberel,Art of Knockout,170.18,56.7,180.34,Orthodox,1998-03-22
Jaqueline Amorim,,160.02,52.16,172.72,Orthodox,1995-06-24
HyunSung Park,Peace of Mind,170.18,56.7,167.64,Orthodox,1995-11-04
Igor Gracie,,180.34,77.11,,,
Brady Fink,,182.88,83.01,,Orthodox,
Tatsuya Mizuno,,185.42,92.99,,Southpaw,1981-06-02
Per Eklund,,177.8,70.31,182.88,Orthodox,
Daisuke Nakamura,,170.18,69.85,,Orthodox,1980-06-10
Brennan Ward,The Irish Bad Boy,177.8,77.11,180.34,,
Ken Kaneko,,182.88,73.03,,Orthodox,
Rolando Delgado,Roli,190.5,70.31,195.58,Orthodox,1981-11-22
Mike King,,190.5,83.91,,,
Kit Cope,Havoc,182.88,77.11,,Orthodox,1977-03-17
Chris Sanford,,180.34,83.91,,Orthodox,1968-03-12
Junie Browning,,175.26,70.31,,Orthodox,1984-05-12
Preston Parsons,Pressure,180.34,77.11,180.34,Orthodox,1995-07-15
Mike Budnik,,175.26,65.77,172.72,Orthodox,1974-08-08
Zhang Tiequan,The Wolf,172.72,70.31,175.26,Orthodox,1978-07-25
Shannon Gugerty,,177.8,70.31,180.34,Orthodox,1981-12-30
Allen Berube,Monstah Lobstah,172.72,70.31,,Orthodox,1974-08-25
Tim Credeur,,190.5,83.91,190.5,Orthodox,1977-07-09
Daisuke Sugie,Amazon,167.64,72.57,,Orthodox,
Herbert Burns,The Blaze,175.26,65.77,185.42,Orthodox,1988-02-02
Edwin DeWees,Babyface,185.42,83.91,,Orthodox,1982-08-07
Ricardo Romero,,182.88,92.99,193.04,Orthodox,1978-04-15
Rob Broughton,The Bear,187.96,120.2,187.96,Orthodox,1983-03-03
Ryuichi Murata,,172.72,83.01,,Orthodox,
Roman Zentsov,The Russian Hammer,185.42,104.33,,Orthodox,1973-09-10
Dmitry Sosnovskiy,Wicked Machine,190.5,108.86,195.58,Orthodox,1989-07-06
Jesse Taylor,JT Money,182.88,77.11,185.42,Orthodox,1983-01-02
Alexandre Dantas,Cafe,187.96,107.95,,Orthodox,1979-03-01
Kevin Jousset,Air,187.96,77.11,190.5,Orthodox,1993-05-02
Manny Bermudez,The Bermudez Triangle,177.8,65.77,180.34,Orthodox,1994-07-16
Eric Lawson,,182.88,83.91,,Orthodox,
Sidney Outlaw,,172.72,77.11,187.96,Orthodox,1992-04-11
Maiquel Falcao,Big Rig,180.34,83.91,,Orthodox,1981-03-08
Samandar Murodov,,185.42,77.11,190.5,Orthodox,1999-08-28
Katsuaki Furuki,,182.88,76.2,,,
Matt Secor,,182.88,77.11,,,
Danny Mitchell,The Cheesecake Assassin,187.96,77.11,,Orthodox,1986-08-08
Adam Piccolotti,,180.34,70.31,,,
Scott Shaffer,,170.18,65.77,,Orthodox,
Raymond Daniels,,187.96,83.91,,Southpaw,
Fabiano Iha,,172.72,70.31,,Orthodox,1970-07-28
Jan Nortje,The Giant,185.42,140.61,,Southpaw,1975-04-11
Will Ribeiro,,172.72,61.23,,Orthodox,1983-02-17
Anthony Hernandez,Fluffy,182.88,83.91,190.5,Orthodox,1993-10-18
Marcus Jones,The Darkness,198.12,120.2,,Orthodox,1973-08-15
Tatsuro Taira,,170.18,56.7,177.8,Orthodox,2000-01-27
Jason High,The Kansas City Bandit,172.72,70.31,185.42,Southpaw,1981-10-12
Mike Nickels,,193.04,92.99,,Orthodox,1971-12-13
Shaheen Santana,Shazam,185.42,70.31,190.5,Orthodox,1991-06-04
Sam Patterson,,190.5,70.31,198.12,Orthodox,1996-04-30
Rei Tsuruya,,167.64,56.7,172.72,Orthodox,2002-06-22
Yoshiyuki Yoshida,Zenko,180.34,77.11,177.8,Southpaw,1974-05-10
Nadia Kassem,,165.1,56.7,167.64,Southpaw,1995-11-15
Rinya Nakamura,Hybred,170.18,61.23,172.72,Southpaw,1995-03-23
Ron Waterman,H20,187.96,127.01,,Orthodox,1965-11-23
Abel Cullum,The Silent Assassin,170.18,63.05,,Orthodox,1987-04-21
Andre Galvao,,170.18,76.2,,Orthodox,1982-09-29
Dan Lauzon,The Upgrade,177.8,70.31,,Orthodox,1988-03-30
Darrick Minner,,170.18,65.77,175.26,Orthodox,1990-04-28
Edson Berto,Little Tiger,167.64,70.31,,Orthodox,1983-07-05
Khamzat Chimaev,Borz,187.96,83.91,190.5,Orthodox,1994-05-01
Carlton Jones,,185.42,102.06,,Orthodox,
Charles Oliveira,Do Bronxs,177.8,70.31,187.96,Orthodox,1989-10-17
Matt Horwich,Suave,185.42,83.91,,Orthodox,1978-10-02
Charles McCarthy,Chainsaw,177.8,83.91,180.34,Orthodox,1980-08-06
Jeff Bedard,Little Popeye,167.64,65.77,,Orthodox,1970-02-06
Roybert Echeverria,The Unbroken,165.1,56.7,170.18,Switch,1995-08-21
Julian Marquez,The Cuban Missile Crisis,187.96,83.91,182.88,Orthodox,1990-05-08
Allan Goes,,182.88,92.99,,Orthodox,1971-04-20
Joseph Morales,,167.64,56.7,175.26,Switch,1994-08-22
Nick Thompson,The Goat,185.42,77.11,187.96,Orthodox,1981-06-23
Dustin Pague,The Disciple,175.26,61.23,187.96,Orthodox,1987-08-05
Coty Wheeler,Ox,167.64,61.23,170.18,Orthodox,1978-10-11
Lu Kai,The Last Gladiator,175.26,65.77,175.26,Orthodox,1994-03-01
Renato Sobral,Babalu,185.42,92.99,190.5,Orthodox,1975-09-07
Daniel Roberts,Ninja,177.8,77.11,187.96,Southpaw,1980-08-05
Keigo Kunihara,,182.88,106.59,,Orthodox,
Jeimeson Saudino,The Minion,167.64,61.23,,,
Marloes Coenen,,175.26,65.77,170.18,,
Daniel Spohn,Dragon,193.04,92.99,200.66,Southpaw,1984-10-12
Andre Petroski,,182.88,83.91,185.42,Switch,1991-06-12
Dave Menne,The Warrior,177.8,77.11,,Orthodox,1974-07-29
Kyle Kurtz,,,77.11,,,
Renato Verissimo,Charuto,185.42,77.11,,Orthodox,1973-08-03
