name,nickname,height_cm,weight_in_kg,reach_in_cm,stance,date_of_birth
Danilo Marques,,198.12,92.99,195.58,Orthodox,1985-12-26
Renzo Gracie,,177.8,83.91,,Orthodox,1967-03-11
Stephanie Egger,,167.64,61.23,172.72,Orthodox,1988-08-12
Austin Springer,,172.72,65.77,180.34,Orthodox,1987-05-12
Iuri Alcantara,Marajo,175.26,61.23,180.34,Southpaw,1980-08-04
Da'Mon Blackshear,The Monster,177.8,61.23,182.88,Switch,1994-08-12
Spencer Fisher,The King,170.18,70.31,172.72,Southpaw,1976-05-09
Kurt Pellegrino,Batman,172.72,70.31,177.8,Orthodox,1979-05-07
Trey Ogden,Samurai Ghost,180.34,70.31,182.88,Orthodox,1989-11-14
Anderson Silva,The Spider,187.96,83.91,195.58,Southpaw,1975-04-14
Carlston Harris,Mocambique,182.88,77.11,193.04,Orthodox,1987-07-09
Jorge Santiago,The Sandman,185.42,77.11,190.5,Orthodox,1980-10-09
Gleison Tibau,,177.8,70.31,180.34,Southpaw,1983-10-07
Josh Shockley,,185.42,70.31,,Orthodox,1989-11-15
Mark Coleman,The Hammer,185.42,92.99,190.5,Orthodox,1964-12-20
Sarah Moras,Cheesecake,170.18,61.23,170.18,Orthodox,1988-04-30
Jimmy Ambriz,The Titan,187.96,142.88,,Southpaw,1970-01-26
Chris Cariaso,Kamikaze,160.02,56.7,162.56,Southpaw,1981-05-27
Rogerio Nogueira,Minotouro,187.96,92.99,190.5,Southpaw,1976-06-02
Russell Doane,,170.18,61.23,177.8,Orthodox,1986-08-13
Rony Jason,,170.18,65.77,185.42,Orthodox,1984-03-21
Maki Pitolo,Coconut Bombz,177.8,83.91,190.5,Orthodox,1990-11-24
Joanderson Brito,Tubarao,172.72,65.77,182.88,Orthodox,1995-02-11
Zhang Lipeng,The Warrior,180.34,70.31,180.34,Southpaw,1990-03-10
Francisco Prado,,177.8,70.31,175.26,Orthodox,2002-06-16
Amanda Lemos,,162.56,52.16,165.1,Southpaw,1987-05-22
Jamie Varner,,172.72,70.31,180.34,Orthodox,1984-10-12
Seth Baczynski,The Polish Pistola,190.5,77.11,190.5,Orthodox,1981-10-26
Jonathan Pearce,JSP,182.88,65.77,180.34,Switch,1992-05-01
Kenny Robertson,,177.8,77.11,187.96,Orthodox,1984-02-14
Montserrat Conejo Ruiz,,152.4,52.16,154.94,Southpaw,1993-02-03
Khabib Nurmagomedov,The Eagle,177.8,70.31,177.8,Orthodox,1988-09-20
Gary Goodridge,Big Daddy,190.5,112.94,,Orthodox,1966-01-17
Justin Buchholz,,182.88,70.31,185.42,Orthodox,1983-08-22
Malcolm Gordon,X,170.18,56.7,180.34,Switch,1990-05-19
Achmed Labasanov,,190.5,97.52,,Orthodox,1978-04-24
Joseph Gigliotti,Capo,180.34,83.91,,Orthodox,1993-08-13
Liang Na,The Dragon Girl,165.1,56.7,170.18,Orthodox,1996-07-27
Mike Stumpf,,177.8,77.11,,,
Aljamain Sterling,Funk Master,170.18,61.23,180.34,Orthodox,1989-07-31
Kevin Randleman,The Monster,177.8,92.99,,Orthodox,1971-08-10
Rory Singer,Outburst,187.96,83.91,195.58,Orthodox,1976-05-28
Darrion Caldwell,The Wolf,177.8,61.23,,,
Alex Andrade,El Toro,180.34,90.72,,Orthodox,1974-05-14
Antonio Silva,Bigfoot,193.04,119.75,208.28,Orthodox,1979-09-14
Nate Marquardt,The Great,182.88,83.91,187.96,Orthodox,1979-04-20
Kevin Burns,The Fire,177.8,77.11,187.96,Orthodox,1980-03-03
Vinny Magalhaes,Pezao,190.5,92.99,190.5,Orthodox,1984-07-02
Frank Trigg,Twinkle Toes,175.26,77.11,180.34,Southpaw,1972-05-07
Montana De La Rosa,,170.18,56.7,172.72,Orthodox,1995-02-14
Cynthia Calvillo,,162.56,52.16,162.56,Orthodox,1987-07-13
Brock Jardine,The Machine,180.34,77.11,,Orthodox,1985-07-10
Cameron Saaiman,MSP,172.72,61.23,170.18,Southpaw,2000-12-20
Cat Zingano,Alpha,167.64,65.77,172.72,Southpaw,1982-07-01
Trey Waters,The Truth,195.58,77.11,195.58,Orthodox,1995-02-21
Sangwook Kim,Frogman,182.88,70.31,182.88,Orthodox,1993-10-17
Efrain Escudero,Hecho En Mexico,175.26,70.31,180.34,Orthodox,1986-01-15
John Allan,,185.42,92.99,190.5,Orthodox,1993-02-22
Royce Gracie,,185.42,79.38,,Southpaw,1966-12-12
James Head,,185.42,77.11,185.42,Orthodox,1984-02-09
Jessica Rakoczy,The Ragin',170.18,52.16,,Orthodox,1977-04-14
Kevin Lee,The Motown Phenom,175.26,77.11,195.58,Orthodox,1992-09-04
Naoyuki Kotani,,172.72,70.31,167.64,Southpaw,1981-12-08
Joseph Holmes,Uglyman Joe,193.04,83.91,203.2,Orthodox,1995-07-04
Dashon Johnson,Flyboy,170.18,65.77,,Orthodox,1988-01-25
Domingo Pilarte,Son of Fire,182.88,61.23,185.42,Southpaw,1990-01-05
Takanori Gomi,The Fireball Kid,170.18,70.31,177.8,Southpaw,1978-09-22
TJ Dillashaw,,167.64,61.23,170.18,Orthodox,1986-02-07
Denise Gomes,Dee,157.48,52.16,160.02,Orthodox,1999-12-30
Derrick Krantz,D-Rock,177.8,77.11,182.88,Orthodox,1988-01-13
Mark Vorgeas,,177.8,61.23,,,
Gregor Gillespie,The Gift,170.18,70.31,180.34,Orthodox,1986-11-13
Tim Boetsch,The Barbarian,182.88,83.91,187.96,Orthodox,1981-01-28
Mike Kyle,MAK,193.04,92.99,195.58,Orthodox,1980-03-31
Marion Reneau,The Belizean Bruiser,167.64,61.23,172.72,Orthodox,1977-06-20
Justin Haskins,,177.8,77.11,,Orthodox,1979-08-30
Kleydson Rodrigues,KR,165.1,61.23,170.18,Orthodox,1995-10-22
Jenel Lausa,,165.1,56.7,172.72,Orthodox,1988-08-01
Rachael Ostovich,,160.02,56.7,157.48,Orthodox,1991-02-25
Zabit Magomedsharipov,,185.42,65.77,185.42,Orthodox,1991-03-01
Kay Hansen,,157.48,52.16,160.02,Orthodox,1999-08-14
Jon Fitch,,182.88,77.11,187.96,Orthodox,1978-02-24
Felice Herrig,Lil Bulldog,162.56,52.16,165.1,Orthodox,1984-09-18
Joey Gambino,The Raging Warrior,170.18,65.77,,Orthodox,1988-10-26
Kyung Ho Kang,Mr. Perfect,175.26,61.23,185.42,Orthodox,1987-09-09
Benson Henderson,Smooth,175.26,77.11,177.8,Southpaw,1983-11-16
Alexander Otsuka,The Diet Butcher,185.42,92.99,,Orthodox,1971-07-17
Chris Weidman,The All-American,187.96,83.91,198.12,Orthodox,1984-06-17
Bryan Caraway,Kid Lightning,172.72,61.23,172.72,Orthodox,1984-08-04
Amanda Ribas,,160.02,52.16,167.64,Orthodox,1993-08-26
Reginaldo Vieira,,170.18,61.23,165.1,Orthodox,1982-11-26
Tamires Vidal,Tractor,167.64,61.23,172.72,Orthodox,1998-07-27
Antonio Carlos Junior,Cara de Sapato,187.96,83.91,200.66,Orthodox,1990-03-16
Craig White,The Thundercat,187.96,77.11,193.04,Orthodox,1990-07-01
Urijah Faber,The California Kid,167.64,61.23,170.18,Orthodox,1979-05-14
Fabio Nascimento,Negao,177.8,83.91,,Orthodox,
Frank Gomez,,177.8,61.23,170.18,Orthodox,1986-03-31
Chad Anheliger,The Monster,167.64,61.23,162.56,Orthodox,1986-12-01
Diego Sanchez,Nightmare,177.8,77.11,182.88,Southpaw,1981-12-31
Chris Leben,The Crippler,180.34,83.91,185.42,Southpaw,1980-07-21
Julianna Pena,The Venezuelan Vixen,167.64,61.23,175.26,Orthodox,1989-08-19
Katsunori Kikuno,,172.72,65.77,167.64,Orthodox,1981-10-31
Wellington Turman,The Prodigy,182.88,77.11,182.88,Orthodox,1996-07-22
Kyle Noke,,185.42,77.11,193.04,Southpaw,1980-03-18
Kanako Murata,,154.94,52.16,157.48,Orthodox,1993-08-10
Alistair Overeem,The Demolition Man,193.04,120.2,203.2,Orthodox,1980-05-17
John Teixeira,Macapa,170.18,65.77,,Orthodox,1986-11-18
Tony Sims,,180.34,70.31,177.8,Southpaw,1985-10-14
Renato Moicano,,180.34,70.31,182.88,Orthodox,1989-05-21
Khama Worthy,The Death Star,180.34,70.31,187.96,Orthodox,1986-10-15
Jack Shore,Tank,172.72,61.23,180.34,Orthodox,1995-02-06
Felipe Arantes,Sertanejo,172.72,61.23,185.42,Orthodox,1988-02-09
Claudia Gadelha,Claudinha,162.56,52.16,160.02,Orthodox,1988-12-07
Joaquim Silva,Netto BJJ,172.72,70.31,175.26,Southpaw,1989-02-05
Daiki Hata,DJ Taiki,167.64,63.05,,Orthodox,1982-08-24
George Sullivan,The Silencer,182.88,77.11,185.42,Orthodox,1981-03-13
Ramazan Emeev,Gorets,177.8,77.11,193.04,Southpaw,1987-05-23
Mitsuhiro Ishida,The Endless Warrior,167.64,69.85,,Southpaw,1978-12-29
Yair Rodriguez,El Pantera,180.34,65.77,180.34,Orthodox,1992-10-06
Scott Jorgensen,Young Guns,165.1,61.23,167.64,Orthodox,1982-09-17
Casey O'Neill,King,167.64,56.7,175.26,Orthodox,1997-10-07
Ian Freeman,The Machine,180.34,102.06,,Orthodox,1966-11-10
Diego Saraiva,The Octopus,167.64,70.31,,Orthodox,1982-04-23
Alexis Davis,,167.64,61.23,172.72,Orthodox,1984-10-04
Brian Camozzi,Mantis,187.96,77.11,198.12,Orthodox,1991-06-24
Lucie Pudilova,,172.72,61.23,170.18,Orthodox,1994-06-13
Ricardo Ramos,,175.26,65.77,182.88,Orthodox,1995-08-01
Matt Mitrione,,190.5,120.2,208.28,Switch,1978-07-15
Joe Duffy,Irish,177.8,70.31,185.42,Orthodox,1988-02-18
Anderson Dos Santos,Berinja,165.1,61.23,177.8,Orthodox,1985-07-24
Milton Vieira,Miltinho,182.88,65.77,,Orthodox,1978-10-04
David Kaplan,Diamond,170.18,70.31,,Orthodox,1979-11-16
Amanda Nunes,The Lioness,172.72,61.23,175.26,Orthodox,1988-05-30
Robert Sanchez,Littlefury,167.64,56.7,167.64,Orthodox,1986-03-05
Rich Franklin,Ace,185.42,83.91,193.04,Southpaw,1974-10-05
Manvel Gamburyan,The Anvil,165.1,61.23,170.18,Orthodox,1981-05-08
Don Madge,Magic Man,182.88,70.31,182.88,Southpaw,1990-11-12
Brad Scott,Bear,185.42,77.11,193.04,Orthodox,1989-06-24
Mandy Bohm,Monster,170.18,56.7,180.34,Orthodox,1989-07-30
Michelle Waterson-Gomez,The Karate Hottie,160.02,52.16,157.48,Orthodox,1986-01-06
Rafael Estevam,Macapa,172.72,56.7,175.26,Orthodox,1996-08-10
Matt Sayles,,170.18,70.31,172.72,Orthodox,1994-02-21
Mauricio Rua,Shogun,185.42,92.99,193.04,Orthodox,1981-11-25
Steven Peterson,Ocho,177.8,65.77,177.8,Orthodox,1990-05-29
Amir Albazi,The Prince,165.1,56.7,172.72,Orthodox,1993-10-27
Niklas Stolze,Green Mask,185.42,70.31,187.96,Switch,1992-12-28
Darren Uyenoyama,BC,167.64,56.7,165.1,Orthodox,1979-10-15
Drew McFedries,The Massacre,182.88,83.91,182.88,Southpaw,1978-07-27
Niko Price,The Hybrid,182.88,77.11,193.04,Orthodox,1989-09-29
Marcio Alexandre Junior,Lyoto,182.88,83.91,190.5,Southpaw,1989-05-05
Olaf Alfonso,,187.96,77.11,,Orthodox,1974-08-06
Alex Caceres,Bruce Leeroy,177.8,65.77,185.42,Southpaw,1988-06-20
Trevor Smith,Hot Sauce,190.5,83.91,190.5,Orthodox,1981-01-05
Daniel Sarafian,,175.26,83.91,185.42,Orthodox,1982-08-21
Heath Herring,The Texas Crazy Horse,193.04,113.4,198.12,Orthodox,1978-03-02
Viviane Araujo,Vivi,162.56,56.7,172.72,Orthodox,1986-11-21
Dustin Stoltzfus,,182.88,83.91,190.5,Orthodox,1991-11-15
Francis Marshall,Fire,175.26,65.77,182.88,Orthodox,1999-03-03
Phillipe Nover,The Filipino Assassin,175.26,65.77,182.88,Orthodox,1984-02-03
Chris Heatherly,Stump,175.26,70.31,,Orthodox,1987-11-24
Rodrigo Nascimento,Ze Colmeia,187.96,111.58,203.2,Orthodox,1992-11-26
Brandon Thatch,Rukus,187.96,77.11,187.96,Switch,1985-07-11
William Gomis,Jaguar,182.88,65.77,185.42,Southpaw,1997-06-13
Mike Russow,,185.42,115.67,185.42,Orthodox,1976-09-11
Buddy Roberts,,187.96,83.91,,Orthodox,1982-10-17
Drako Rodriguez,,172.72,61.23,175.26,Orthodox,1996-06-16
Vinicius Queiroz,Spartan,200.66,99.79,,Orthodox,1983-08-29
Tereza Bleda,,175.26,56.7,180.34,Orthodox,2001-11-30
Forrest Griffin,,190.5,92.99,195.58,Orthodox,1979-03-16
Don Frye,The Predator,185.42,99.34,,Orthodox,1965-11-23
Junior Assuncao,,175.26,65.77,182.88,Orthodox,1981-06-24
Reuben Duran,,170.18,61.23,180.34,Orthodox,1983-07-02
Gray Maynard,,175.26,70.31,177.8,Orthodox,1979-05-09
James Vick,The Texecutioner,190.5,70.31,193.04,Orthodox,1987-02-23
Brian Kelleher,Boom,167.64,61.23,167.64,Switch,1986-08-19
Diego Ferreira,,175.26,70.31,187.96,Orthodox,1985-01-18
Alex Stiebling,The Brazilian Killa,187.96,92.99,,Southpaw,
Scott Askham,,190.5,83.91,190.5,Southpaw,1988-05-20
Kalindra Faria,,170.18,56.7,,Switch,1986-07-23
Keith Jardine,The Dean of Mean,187.96,83.91,193.04,Orthodox,1975-10-31
David Michaud,BullDawg,175.26,70.31,,Orthodox,1988-11-10
Luana Carolina,Dread,167.64,56.7,175.26,Orthodox,1993-06-11
Travis Lutter,The Serial Killer,180.34,83.91,190.5,Orthodox,1973-05-12
Anthony Smith,Lionheart,193.04,92.99,193.04,Orthodox,1988-07-26
John Polakowski,Buckets of Blood,177.8,70.31,,Orthodox,1981-06-21
Vicente Luque,The Silent Assassin,180.34,77.11,190.5,Orthodox,1991-11-27
David Baron,,167.64,70.31,,Switch,1973-02-15
Ricardo Abreu,Demente,180.34,83.91,,Orthodox,1984-04-27
DaMarques Johnson,Darkness,185.42,77.11,190.5,Orthodox,1982-06-28
Darrell Horcher,The Saint,177.8,70.31,177.8,Southpaw,1987-07-28
Kyle Nelson,The Monster,180.34,65.77,180.34,Switch,1991-04-20
Damien Brown,Beatdown,177.8,70.31,172.72,Orthodox,1984-12-25
Tim Kennedy,,180.34,83.91,187.96,Orthodox,1979-09-01
Gustavo Lopez,,165.1,61.23,170.18,Orthodox,1989-06-27
Yoshiro Maeda,,170.18,63.05,172.72,Southpaw,1981-10-31
Kenji Osawa,,170.18,61.23,167.64,Orthodox,1976-11-04
Yves Edwards,,175.26,70.31,185.42,Southpaw,1976-09-30
Maryna Moroz,Iron Lady,170.18,56.7,170.18,Orthodox,1991-09-08
Thiago Silva,,187.96,92.99,187.96,Orthodox,1982-11-12
Brad Blackburn,Bad Brad,177.8,77.11,185.42,Orthodox,1977-05-25
Yancy Medeiros,,177.8,70.31,190.5,Orthodox,1987-09-07
Jameel Massouh,,177.8,65.77,182.88,Orthodox,1984-09-12
Ian Heinisch,The Hurricane,180.34,83.91,182.88,Orthodox,1988-08-05
Katsuyori Shibata,,182.88,76.2,,Orthodox,1979-11-17
Steve Cantwell,The Robot,187.96,83.91,190.5,Orthodox,1986-12-08
Vanessa Demopoulos,Lil Monster,157.48,52.16,149.86,Orthodox,1988-09-22
Jeff Monson,The Snowman,175.26,112.04,187.96,Orthodox,1971-01-18
Guto Inocente,,190.5,92.99,,Orthodox,1986-05-29
Leo Kuntz,The Lion,177.8,70.31,,Orthodox,1983-10-03
Devin Powell,,182.88,70.31,185.42,Orthodox,1988-03-01
Marcus LeVesseur,The Prospect,175.26,70.31,177.8,Southpaw,1982-07-17
Vitor Belfort,The Phenom,182.88,83.91,187.96,Southpaw,1977-04-01
Tito Ortiz,The People's Champ,190.5,92.99,187.96,Orthodox,1975-01-23
Francisco Rivera,Cisco,172.72,61.23,177.8,Orthodox,1981-10-08
Jarred Brooks,The Monkey God,160.02,56.7,157.48,Switch,1993-05-02
Diego Nunes,The Gun,167.64,65.77,170.18,Orthodox,1982-11-30
Joseph Benavidez,,162.56,56.7,165.1,Southpaw,1984-07-31
Bryan Battle,Pooh Bear,185.42,77.11,195.58,Orthodox,1994-09-21
Mike Lullo,,172.72,65.77,,Orthodox,1979-07-24
Doug Evans,,175.26,70.31,,Orthodox,1980-10-10
Chris Tuchscherer,The Crowbar,187.96,117.03,193.04,Orthodox,1975-09-08
Yoshihisa Yamamoto,,187.96,99.79,,Southpaw,1970-07-04
Jessica Penne,,165.1,52.16,170.18,Orthodox,1983-01-30
Geane Herrera,La Pulga,165.1,56.7,167.64,Orthodox,1990-05-27
Nick Aguirre,Slick,175.26,61.23,187.96,Southpaw,1996-01-15
Julia Polastri,The Dragon,157.48,52.16,160.02,Orthodox,1998-03-05
Joe Riggs,Diesel,182.88,83.91,177.8,Southpaw,1982-09-23
Kazuyuki Fujita,Ironhead,182.88,106.59,,Orthodox,1970-10-16
Jonathan Goulet,The Road Warrior,182.88,77.11,185.42,Orthodox,1979-07-13
Ebenezer Fontes Braga,Pitbull,182.88,90.26,,Orthodox,1969-04-14
Luigi Vendramini,The Italian Stallion,172.72,70.31,185.42,Orthodox,1996-01-16
Jeka Saragih,,172.72,65.77,175.26,Orthodox,1995-01-01
Clay Guida,The Carpenter,170.18,70.31,177.8,Orthodox,1981-12-08
Chepe Mariscal,Machine Gun,170.18,65.77,175.26,Orthodox,1992-10-27
Phil Davis,Mr. Wonderful,187.96,92.99,200.66,Orthodox,1984-09-25
Kalib Starnes,,190.5,83.91,187.96,Orthodox,1975-01-06
Kazuhiro Nakamura,Kaz,180.34,92.99,177.8,Orthodox,1979-07-16
Phillip Miller,,180.34,83.91,,Orthodox,1979-02-20
Edgar Garcia,,177.8,77.11,180.34,Orthodox,1984-02-22
Kuniyoshi Hironaka,,177.8,76.2,177.8,Orthodox,1976-06-17
Raquel Pennington,Rocky,170.18,61.23,170.18,Orthodox,1988-09-05
Kyler Phillips,The Matrix,172.72,61.23,182.88,Orthodox,1995-06-12
Chan Sung Jung,The Korean Zombie,170.18,65.77,182.88,Orthodox,1987-03-17
Crosley Gracie,,175.26,86.18,,Orthodox,1979-07-18
Igor Araujo,,185.42,77.11,195.58,Orthodox,1980-12-06
Shanna Young,The Shanimal,170.18,56.7,165.1,Orthodox,1991-02-20
Kailin Curran,,162.56,52.16,165.1,Orthodox,1991-04-11
Mark Munoz,The Filipino Wrecking Machine,182.88,83.91,180.34,Orthodox,1978-02-09
Derek Brunson,The One,185.42,83.91,195.58,Southpaw,1984-01-04
Michel Prazeres,Tractor,167.64,77.11,170.18,Orthodox,1981-07-25
TJ Grant,,177.8,70.31,182.88,Orthodox,1984-02-26
Ashley Yoder,SpiderMonkey,170.18,52.16,175.26,Southpaw,1987-10-20
Jake Collier,The Prototype,190.5,104.33,198.12,Orthodox,1988-10-25
Aspen Ladd,,167.64,61.23,167.64,Orthodox,1995-03-01
Patricio Freire,Pitbull,165.1,65.77,165.1,,
Payton Talbott,,177.8,61.23,177.8,Switch,1998-09-09
John Lineker,Hands of Stone,160.02,61.23,170.18,Orthodox,1990-06-12
Philip De Fries,,195.58,113.4,200.66,Orthodox,1986-04-21
Davi Ramos,Tasmanian Devil,167.64,70.31,177.8,Orthodox,1986-11-05
Edmen Shahbazyan,The Golden Boy,187.96,83.91,190.5,Orthodox,1997-11-20
Brian Rogers,The Professional Predator,180.34,83.91,,,
Victor Henry,La Mangosta,170.18,61.23,172.72,Switch,1987-05-04
Fernie Garcia,,170.18,61.23,170.18,Orthodox,1992-04-12
Brendan O'Reilly,Badger,170.18,77.11,175.26,Orthodox,1987-06-24
Dong Hyun Kim,Stun Gun,187.96,77.11,193.04,Southpaw,1981-11-17
Edwin Figueroa,El Feroz,170.18,61.23,175.26,Orthodox,1984-07-31
Damian Stasiak,Webster,165.1,61.23,177.8,Orthodox,1990-02-20
Julian Erosa,Juicy J,185.42,65.77,187.96,Southpaw,1989-07-31
Hiromitsu Miura,,175.26,77.11,180.34,Orthodox,1981-09-22
Stevie Ray,Braveheart,177.8,70.31,177.8,Southpaw,1990-03-25
Wanderlei Silva,The Axe Murderer,180.34,92.99,187.96,Orthodox,1976-07-03
Rose Namajunas,Thug,165.1,56.7,165.1,Orthodox,1992-06-29
Mike Swick,Quick,185.42,77.11,195.58,Orthodox,1979-06-19
Dhiego Lima,,187.96,77.11,190.5,Orthodox,1989-01-31
Jake Matthews,The Celtic Kid,180.34,77.11,185.42,Orthodox,1994-08-19
Andrea Lee,KGB,167.64,56.7,175.26,Orthodox,1989-02-11
Jose Quinonez,Teco,172.72,61.23,175.26,Southpaw,1990-07-28
Diego Brandao,DB,170.18,65.77,162.56,Orthodox,1987-05-27
Ketlen Vieira,Fenomeno,172.72,61.23,172.72,Orthodox,1991-08-26
Ivan Jorge,Batman,175.26,70.31,185.42,Orthodox,1980-11-07
Lavar Johnson,Big,193.04,108.86,208.28,Orthodox,1977-06-11
Ken Stone,,172.72,61.23,180.34,Southpaw,1982-10-08
Francis Carmont,Limitless,190.5,92.99,198.12,Orthodox,1981-10-11
Lukasz Brzeski,The Bull,193.04,107.05,198.12,Orthodox,1992-05-17
Hatsu Hioki,,180.34,65.77,185.42,Orthodox,1983-07-18
Zak Cummings,,182.88,92.99,190.5,Southpaw,1984-08-02
Albert Duraev,,180.34,83.91,190.5,Orthodox,1989-01-05
Melquizael Costa,Melk Cauthy,177.8,70.31,180.34,Southpaw,1996-09-14
Arlene Blencowe,Angerfist,165.1,65.77,,,
Kevin Jordan,The Shaman,190.5,111.13,,Orthodox,1970-12-31
Johil de Oliveira,,167.64,77.11,,Orthodox,
Fabio Maldonado,Caipira de Aco,185.42,92.99,190.5,Orthodox,1980-03-17
Sumudaerji,The Tibetan Eagle,172.72,56.7,182.88,Southpaw,1996-01-20
Henry Briones,Bure,172.72,61.23,175.26,Orthodox,1980-10-22
Rafael Dos Anjos,,172.72,77.11,177.8,Southpaw,1984-10-26
Alex Oliveira,Cowboy,180.34,77.11,193.04,Orthodox,1988-02-21
Wilson Reis,,162.56,56.7,165.1,Southpaw,1985-01-06
Alexa Grasso,,165.1,56.7,167.64,Orthodox,1993-08-09
Jose Johnson,Lobo Solitario,182.88,61.23,180.34,Orthodox,1995-05-20
Michel Pereira,Demolidor,185.42,83.91,185.42,Orthodox,1993-10-06
Aaron Phillips,The Dragon,175.26,61.23,180.34,Southpaw,1989-08-05
Luan Lacerda,,170.18,61.23,180.34,Orthodox,1993-01-07
Mac Danzig,,172.72,70.31,177.8,Orthodox,1980-01-02
Bibiano Fernandes,,170.18,63.05,,Orthodox,1980-03-30
Jussier Formiga,,165.1,56.7,170.18,Orthodox,1985-04-14
Mike Brown,,167.64,65.77,177.8,Orthodox,1975-09-08
Jacob Rosales,The Lil Badger,180.34,70.31,187.96,Orthodox,1995-07-28
Lisa Ellis,,162.56,52.16,,,
Kazuo Misaki,Hitman,172.72,83.01,,Orthodox,1976-04-25
Anthony Johnson,Rumble,187.96,92.99,198.12,Orthodox,1984-03-06
Sage Northcutt,Super,182.88,77.11,180.34,Orthodox,1996-03-01
Martin Day,The Spartan,177.8,65.77,185.42,Orthodox,1988-11-10
Mana Martinez,ManaBoi,177.8,61.23,177.8,Orthodox,1996-03-25
Taylor Lapilus,Double Impact,167.64,61.23,185.42,Southpaw,1992-04-08
Eddie Alvarez,,175.26,70.31,175.26,Orthodox,1984-01-11
Tom DeBlass,,182.88,83.91,,Orthodox,1982-05-14
Pearl Gonzalez,,162.56,52.16,,Orthodox,1986-08-12
Mike Rhodes,Biggie,185.42,77.11,187.96,Orthodox,1989-12-04
Randy Couture,The Natural,185.42,92.99,190.5,Orthodox,1963-06-22
Gilbert Burns,Durinho,177.8,77.11,180.34,Orthodox,1986-07-20
Parker Porter,,182.88,120.2,190.5,Orthodox,1985-04-22
Randy Brown,Rudeboy,190.5,77.11,198.12,Orthodox,1990-07-08
Alex White,The Spartan,182.88,70.31,180.34,Southpaw,1988-10-22
Tainara Lisboa,Thai Panther,170.18,61.23,170.18,Orthodox,1991-03-02
Anthony Birchak,El Toro,172.72,61.23,175.26,Orthodox,1986-05-16
Oli Thompson,,185.42,109.77,,Orthodox,1980-01-02
Gregory Rodrigues,Robocop,190.5,83.91,190.5,Orthodox,1992-02-17
Olivier Aubin-Mercier,The Canadian Gangster,175.26,70.31,177.8,Southpaw,1989-02-23
Rodolfo Bellato,Trator,190.5,92.99,195.58,Orthodox,1996-02-05
Marcel Fortuna,,185.42,92.99,187.96,Orthodox,1985-10-22
Scott Smith,Hands of Steel,182.88,83.91,177.8,Orthodox,1979-05-21
Motonobu Tezuka,,170.18,61.23,,Southpaw,1987-08-29
Felipe Colares,Cabocao,172.72,65.77,175.26,Orthodox,1994-03-31
Pedro Munhoz,The Young Punisher,167.64,61.23,165.1,Orthodox,1986-09-07
Esteban Ribovics,El Gringo,177.8,70.31,175.26,Orthodox,1996-04-27
Phil Baroni,The New York Bad Ass,175.26,77.11,182.88,Orthodox,1976-04-16
Justin Scoggins,,170.18,56.7,167.64,Southpaw,1992-05-02
Cory McKenna,Poppins,160.02,52.16,147.32,Orthodox,1999-07-11
Clay Collard,Cassius,180.34,65.77,185.42,Orthodox,1993-03-10
Jorge Gurgel,,170.18,70.31,175.26,Orthodox,1977-01-25
Marcos Rogerio de Lima,Pezao,185.42,114.76,190.5,Orthodox,1985-06-25
Molly McCann,Meatball,162.56,56.7,157.48,Orthodox,1990-05-04
BJ Penn,The Prodigy,175.26,70.31,177.8,Orthodox,1978-12-13
Danny Downes,,182.88,70.31,182.88,Orthodox,1986-04-08
Paul Taylor,Relentless,182.88,70.31,182.88,Orthodox,1979-12-15
Gadzhi Omargadzhiev,,185.42,77.11,180.34,Switch,1993-02-24
Brandon Moreno,The Assassin Baby,170.18,56.7,177.8,Orthodox,1993-12-07
Vince Cachero,The Anomaly,167.64,65.77,172.72,Orthodox,1989-11-07
Dongi Yang,The Ox,177.8,83.91,185.42,Southpaw,1984-12-07
Hitomi Akano,Girlfight Monster,162.56,61.23,,Southpaw,1974-07-27
Megan Anderson,,182.88,65.77,182.88,Orthodox,1990-02-11
Jacob Malkoun,Mamba,175.26,83.91,185.42,Orthodox,1995-08-26
Hacran Dias,Barnabe,172.72,70.31,175.26,Orthodox,1984-06-16
Shungo Oyama,,180.34,83.91,,Southpaw,1974-04-11
Jarno Errens,,180.34,65.77,185.42,Orthodox,1994-11-17
Brock Lesnar,,190.5,120.2,205.74,Orthodox,1977-07-12
Michael Trizano,The Lone Wolf,180.34,65.77,180.34,Orthodox,1991-12-31
Emily Whitmire,Spitfire,165.1,56.7,160.02,Orthodox,1991-05-24
Antonio Braga Neto,,190.5,83.91,195.58,Orthodox,1987-10-29
Zarrukh Adashev,The Lion,165.1,56.7,165.1,Southpaw,1992-07-29
Sammy Morgan,The Squeeze,177.8,77.11,,Orthodox,1981-09-28
Bernardo Magalhaes,Trekko,175.26,70.31,,Orthodox,1981-04-08
Caol Uno,Uno Shoten,170.18,70.31,177.8,Southpaw,1975-05-08
Matthew Riddle,Deep Waters,185.42,77.11,193.04,Southpaw,1986-01-14
Shuya Kamikubo,Stealth,165.1,61.23,172.72,Switch,1993-04-12
Charles Jourdain,Air,175.26,65.77,175.26,Switch,1995-11-27
Leonard Garcia,Bad Boy,177.8,65.77,172.72,Orthodox,1979-07-14
Igor Vovchanchyn,Ice Cold,172.72,92.99,,Orthodox,1973-08-06
Gabriel Silva,,167.64,61.23,180.34,Orthodox,1994-08-26
SangHoon Yoo,Assassin,182.88,77.11,187.96,Orthodox,1990-01-18
