EVENT,BOUT,OUTCOME,ROUND,TIME,TIME FORMAT,FIGHTER_1,FIGHTER_2,Total_Rounds_Format,Main_round_time_Format,Num_overtime_rounds_Format,Overtime_round_time_Format,gender,is_title_bout,weight_class,fighter_1_result,fighter_2_result,method_label,weightclass_numeric,DATE,LOCATION,total_time_seconds
ufc fight night: yan vs. figueiredo,ozzy diaz vs. zhang mingyang,W/L,1,145,3 Rnd (5-5-5),zhang mingyang,ozzy diaz,3.0,5,0.0,0,0,0,light heavyweight,1,0,0,7,2024-11-23,"macau, china",145
ufc fight night: yan vs. figueiredo,baergeng jieleyisi vs. suyoung you,L/W,3,300,3 Rnd + OT (5-5-5-5),baergeng jieleyisi,suyoung you,3.0,5,,5,0,0,bantamweight,0,1,2,2,2024-11-23,"macau, china",900
ufc fight night: yan vs. figueiredo,donghun choi vs. kiru sahota,L/W,1,156,3 Rnd + OT (5-5-5-5),kiru sahota,donghun choi,3.0,5,,5,0,0,flyweight,0,1,0,1,2024-11-23,"macau, china",156
ufc fight night: yan vs. figueiredo,feng xiaocan vs. shi ming,W/L,3,46,3 Rnd + OT (5-5-5-5),shi ming,feng xiaocan,3.0,5,,5,1,0,strawweight,1,0,0,0,2024-11-23,"macau, china",646
ufc fight night: yan vs. figueiredo,carlos hernandez vs. nyamjargal tumendemberel,L/W,3,300,3 Rnd (5-5-5),nyamjargal tumendemberel,carlos hernandez,3.0,5,0.0,0,0,0,flyweight,0,1,2,1,2024-11-23,"macau, china",900
ufc fight night: yan vs. figueiredo,jose ochoa vs. lone'er kavanagh,W/L,3,300,3 Rnd (5-5-5),lone'er kavanagh,jose ochoa,3.0,5,0.0,0,0,0,flyweight,1,0,2,1,2024-11-23,"macau, china",900
ufc fight night: yan vs. figueiredo,quang le vs. xiao long,W/L,3,88,3 Rnd (5-5-5),xiao long,quang le,3.0,5,0.0,0,0,0,bantamweight,1,0,0,2,2024-11-23,"macau, china",688
ufc fight night: yan vs. figueiredo,maheshate vs. nikolas motta,L/W,3,300,3 Rnd (5-5-5),maheshate,nikolas motta,3.0,5,0.0,0,0,0,lightweight,0,1,2,4,2024-11-23,"macau, china",900
ufc 309: jones vs. miocic,jon jones vs. stipe miocic,W/L,3,269,5 Rnd (5-5-5-5-5),jon jones,stipe miocic,5.0,5,0.0,0,0,1,heavyweight,1,0,0,8,2024-11-16,"new york city, new york, usa",869
ufc 309: jones vs. miocic,charles oliveira vs. michael chandler,W/L,5,300,5 Rnd (5-5-5-5-5),charles oliveira,michael chandler,5.0,5,0.0,0,0,0,lightweight,1,0,2,4,2024-11-16,"new york city, new york, usa",1500
ufc 309: jones vs. miocic,bo nickal vs. paul craig,W/L,3,300,3 Rnd (5-5-5),bo nickal,paul craig,3.0,5,0.0,0,0,0,middleweight,1,0,2,6,2024-11-16,"new york city, new york, usa",900
ufc 309: jones vs. miocic,karine silva vs. viviane araujo,W/L,3,300,3 Rnd (5-5-5),viviane araujo,karine silva,3.0,5,0.0,0,1,0,flyweight,1,0,2,1,2024-11-16,"new york city, new york, usa",900
ufc 309: jones vs. miocic,james llontop vs. mauricio ruffy,W/L,3,300,3 Rnd (5-5-5),mauricio ruffy,james llontop,3.0,5,0.0,0,0,0,catch weight,1,0,2,9,2024-11-16,"new york city, new york, usa",900
ufc 309: jones vs. miocic,jonathan martinez vs. marcus mcghee,L/W,3,300,3 Rnd (5-5-5),jonathan martinez,marcus mcghee,3.0,5,0.0,0,0,0,bantamweight,0,1,2,2,2024-11-16,"new york city, new york, usa",900
ufc 309: jones vs. miocic,damon jackson vs. jim miller,W/L,1,164,3 Rnd (5-5-5),jim miller,damon jackson,3.0,5,0.0,0,0,0,lightweight,1,0,1,4,2024-11-16,"new york city, new york, usa",164
ufc 309: jones vs. miocic,david onama vs. roberto romero,W/L,3,300,3 Rnd (5-5-5),david onama,roberto romero,3.0,5,0.0,0,0,0,lightweight,1,0,2,4,2024-11-16,"new york city, new york, usa",900
