Name,Nickname,Weight_Class,Knockouts,Submissions,First_Round_Finishes,Striking_Accuracy,Takedown_Accuracy,Sig_Str_Attempted Total,Takedowns_Landed_Total,Takedowns_Attempted_Total,Sig_Strikes_Per Min,Takedown_Avg_Per Min,Sig_Str_Def,Knockdown_Avg,Sig_Strikes_Absorbed_Per_Min,Sub_Avg_Per_Min,Takedown_Def,Avg_Fight_Time,Place_of_Birth,Octagon_Debut,Wins,Losses,Draws,Sig_Str_Landed Total_Total,Sig_Str_Landed Total_Percent,Sig_Strikes_While_Clinched_Total,Sig_Strikes_While_Clinched_Percent,Sig_Strikes_While_Standing_Total,Sig_Strikes_While_Standing_Percent,Sig_Strikes_While_Grounded_Total,Sig_Strikes_While_Grounded_Percent,Sig_Strikes_Head_Total,Sig_Strikes_Head_Percent,Sig_Strikes_Body_Total,Sig_Strikes_Body_Percent,Sig_Strikes_Leg_Total,Sig_Strikes_Leg_Percent,Win_by_KO/TKO_Total,Win_by_KO/TKO_Percent,Win_by_Decision_Total,Win_by_Decision_Percent,Win_by_Submission_Total,Win_by_Submission_Percent
Junior Albini,"""Baby""",Heavyweight Division,6,6,0,0.51,0.38,227,1.0,8,3.98,1.54,0.52,0.51,6.08,0.0,1.0,350,"Paranaguá, Brazil","Jul. 22, 2017",14.0,6.0,0.0,116,0,22.0,0.19,90.0,0.78,4.0,0.03,70.0,0.6,27.0,0.23,19.0,0.16,6.0,0.43,2.0,0.14,6.0,0.43
Wes Albritton,,Lightweight Division,0,0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,United States,"May. 30, 1997",0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Alexandra Albu,"""Stitch""",Women's Strawweight Division,4,2,0,0.47,0.5,405,5.0,12,4.83,2.27,0.39,0.0,5.56,0.38,0.78,594,"Vulcanesti, Moldova","Apr. 11, 2015",7.0,2.0,0.0,191,0,62.0,0.32,112.0,0.59,17.0,0.09,138.0,0.72,45.0,0.24,8.0,0.04,4.0,0.57,1.0,0.14,2.0,0.29
Ildemar Alcantara,"""Marajo""",Middleweight Division,0,0,0,0.39,0.68,486,0.0,19,1.93,2.0,0.5,0.0,2.63,0.92,0.82,837,"Soure, Portugal","Jan. 20, 2013",21.0,8.0,0.0,188,0,34.0,0.18,129.0,0.69,25.0,0.13,106.0,0.56,62.0,0.33,20.0,0.11,10.0,0.48,5.0,0.24,6.0,0.29
Iuri Alcantara,"""Marajo""",Bantamweight Division,0,0,0,0.46,0.63,1057,17.0,27,2.72,1.44,0.49,0.42,2.79,0.84,0.6,561,"Soure, Brazil","Aug. 27, 2011",35.0,10.0,0.0,483,0,45.0,0.09,303.0,0.63,135.0,0.28,316.0,0.65,130.0,0.27,37.0,0.08,0.0,0.0,0.0,0.0,0.0,0.0
Alfonso Alcarez,,Lightweight Division,0,0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,United States,"Sep. 24, 1999",0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hector Aldana,"""El Charro""",Welterweight Division,2,1,0,0.38,1.0,302,2.0,2,3.59,0.93,0.6,0.0,5.08,0.0,0.0,646,"San Luis Río Colorado, Mexico","Jun. 23, 2018",4.0,2.0,0.0,116,0,6.0,0.05,109.0,0.94,1.0,0.01,64.0,0.55,13.0,0.11,39.0,0.34,2.0,0.5,1.0,0.25,1.0,0.25
Irene Aldana,,Women's Bantamweight Division,8,3,9,0.4,0.5,2667,2.0,4,5.19,0.15,0.56,0.22,6.64,0.22,0.78,879,"Culiacán, Mexico","Dec. 18, 2016",15.0,8.0,0.0,1065,0,55.0,0.05,948.0,0.89,62.0,0.06,743.0,0.7,145.0,0.14,177.0,0.17,8.0,0.53,4.0,0.27,3.0,0.2
Gilbert Aldana,"""El Peligroso""",Heavyweight Division,0,0,0,0.55,0.4,62,0.0,5,2.91,2.57,0.26,0.0,6.26,0.0,0.33,350,"Chandler, United States","Feb. 4, 2006",5.0,0.0,0.0,34,0,19.0,0.56,6.0,0.18,9.0,0.26,24.0,0.71,6.0,0.18,4.0,0.12,0.0,0.0,0.0,0.0,0.0,0.0
Jose Alday,,Bantamweight Division,0,0,0,0.44,0.0,106,0.0,1,3.13,0.0,0.59,0.0,3.13,0.0,0.57,900,"Nacozari de García, Mexico","Feb. 11, 2025",0.0,1.0,0.0,47,0,3.0,0.06,44.0,0.94,0.0,0.0,21.0,0.45,19.0,0.4,7.0,0.15,0.0,0.0,0.0,0.0,0.0,0.0
José Aldo,,Bantamweight Division,17,1,12,0.47,0.54,3325,12.0,26,3.62,0.49,0.61,0.39,3.72,0.14,0.93,855,"Manaus, Brazil","Apr. 30, 2011",32.0,9.0,0.0,1549,0,60.0,0.04,1342.0,0.87,147.0,0.09,1016.0,0.66,309.0,0.2,224.0,0.14,17.0,0.53,14.0,0.44,1.0,0.03
JJ Aldrich,,Women's Flyweight Division,3,0,3,0.47,0.24,1713,1.0,38,3.88,0.66,0.61,0.0,4.38,0.0,0.67,822,"Denver, United States","Dec. 10, 2016",13.0,7.0,0.0,798,0,97.0,0.12,623.0,0.78,78.0,0.1,657.0,0.82,103.0,0.13,38.0,0.05,3.0,0.25,9.0,0.75,0.0,0.0
Irina Alekseeva,"""Russian Ronda""",Women's Bantamweight Division,1,2,3,0.43,0.2,152,0.0,5,3.84,0.87,0.49,0.87,3.55,0.87,1.0,516,Kazakhstan,"Apr. 29, 2023",5.0,2.0,0.0,66,0,3.0,0.05,61.0,0.92,2.0,0.03,30.0,0.45,9.0,0.14,27.0,0.41,1.0,0.2,2.0,0.4,2.0,0.4
